"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Ivica Zubac",3400,"LAL@NY 12/12/2017 07:00PM ET",1.333,"LAL"
"PF/C","Skal Labissiere",3400,"PHO@SAC 12/12/2017 10:00PM ET",15.469,"SAC"
"SF/PF","Dragan Bender",3400,"PHO@SAC 12/12/2017 10:00PM ET",12.268,"PHO"
"SG","Jodie Meeks",3300,"WAS@BKN 12/12/2017 07:30PM ET",10.606,"WAS"
"PF/C","Channing Frye",3300,"ATL@CLE 12/12/2017 07:00PM ET",9.68,"CLE"
"C","Joakim Noah",3300,"LAL@NY 12/12/2017 07:00PM ET",9.625,"NY"
"PG/SG","Ron Baker",3300,"LAL@NY 12/12/2017 07:00PM ET",10.969,"NY"
"SG/SF","Justin Jackson",3300,"PHO@SAC 12/12/2017 10:00PM ET",9.986,"SAC"
"C","Kosta Koufos",3300,"PHO@SAC 12/12/2017 10:00PM ET",15.433,"SAC"
"SG","Luke Kennard",3200,"DEN@DET 12/12/2017 07:00PM ET",11.226,"DET"
"PF/C","Jason Smith",3200,"WAS@BKN 12/12/2017 07:30PM ET",5.778,"WAS"
"C","Ian Mahinmi",3200,"WAS@BKN 12/12/2017 07:30PM ET",10.798,"WAS"
"PG/SG","Isaiah Whitehead",3200,"WAS@BKN 12/12/2017 07:30PM ET",12.722,"BKN"
"PG","Isaiah Taylor",3200,"ATL@CLE 12/12/2017 07:00PM ET",11.921,"ATL"
"SF/PF","Lance Thomas",3200,"LAL@NY 12/12/2017 07:00PM ET",8.598,"NY"
"C","Alan Williams",3200,"PHO@SAC 12/12/2017 10:00PM ET",0,"PHO"
"SG/SF","Timothe Luwawu-Cabarrot",3200,"PHI@MIN 12/12/2017 09:30PM ET",10.83,"PHI"
"PG/SG","Langston Galloway",3100,"DEN@DET 12/12/2017 07:00PM ET",10.458,"DET"
"PF/C","Quincy Acy",3100,"WAS@BKN 12/12/2017 07:30PM ET",12.063,"BKN"
"PG","Ramon Sessions",3100,"LAL@NY 12/12/2017 07:00PM ET",11.4,"NY"
"C","Salah Mejri",3100,"SA@DAL 12/12/2017 08:30PM ET",12.102,"DAL"
"SG/SF","Reggie Bullock",3000,"DEN@DET 12/12/2017 07:00PM ET",6.875,"DET"
"PG","Dwight Buycks",3000,"DEN@DET 12/12/2017 07:00PM ET",0,"DET"
"C","Boban Marjanovic",3000,"DEN@DET 12/12/2017 07:00PM ET",8.429,"DET"
"PF/C","Eric Moreland",3000,"DEN@DET 12/12/2017 07:00PM ET",7.943,"DET"
"PF/C","Jon Leuer",3000,"DEN@DET 12/12/2017 07:00PM ET",11.813,"DET"
"SF","Luis Montero",3000,"DEN@DET 12/12/2017 07:00PM ET",0,"DET"
"PF/C","Henry Ellenson",3000,"DEN@DET 12/12/2017 07:00PM ET",10.094,"DET"
"PF","Tyler Lydon",3000,"DEN@DET 12/12/2017 07:00PM ET",0,"DEN"
"PG","Monte Morris",3000,"DEN@DET 12/12/2017 07:00PM ET",0,"DEN"
"PF","Darrell Arthur",3000,"DEN@DET 12/12/2017 07:00PM ET",2.75,"DEN"
"SF/PF","Richard Jefferson",3000,"DEN@DET 12/12/2017 07:00PM ET",3.219,"DEN"
"SG/SF","Torrey Craig",3000,"DEN@DET 12/12/2017 07:00PM ET",1.25,"DEN"
"SG","Sheldon Mac",3000,"WAS@BKN 12/12/2017 07:30PM ET",0,"WAS"
"SG","Devin Robinson",3000,"WAS@BKN 12/12/2017 07:30PM ET",0,"WAS"
"PF/C","Chris McCullough",3000,"WAS@BKN 12/12/2017 07:30PM ET",7.167,"WAS"
"PF","Mike Young",3000,"WAS@BKN 12/12/2017 07:30PM ET",0,"WAS"
"C","Timofey Mozgov",3000,"WAS@BKN 12/12/2017 07:30PM ET",10.792,"BKN"
"PG/SG","Jeremy Lin",3000,"WAS@BKN 12/12/2017 07:30PM ET",23,"BKN"
"PG","Jacob Wiley",3000,"WAS@BKN 12/12/2017 07:30PM ET",4.65,"BKN"
"SG","Yakuba Ouattara",3000,"WAS@BKN 12/12/2017 07:30PM ET",0,"BKN"
"PF/C","Ante Zizic",3000,"ATL@CLE 12/12/2017 07:00PM ET",3.694,"CLE"
"SG/SF","Cedi Osman",3000,"ATL@CLE 12/12/2017 07:00PM ET",4.544,"CLE"
"PG","London Perrantes",3000,"ATL@CLE 12/12/2017 07:00PM ET",0,"CLE"
"SG/SF","John Holland",3000,"ATL@CLE 12/12/2017 07:00PM ET",1.833,"CLE"
