"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"C","Damian Jones",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"GS","DAL",0,0,0
"PF","Chris Boucher",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"GS","DAL",0,0,0
"PF/C","Josh McRoberts",3000,"DAL@GS 12/14/2017 10:30PM ET",0,"DAL","GS",0,0,0
"C","Timofey Mozgov",3000,"NY@BKN 12/14/2017 07:30PM ET",10.342,"BKN","NY",0,0,7.5
"PG/SG","Jeremy Lin",3000,"NY@BKN 12/14/2017 07:30PM ET",23,"BKN","NY",0,0,0
"PG","Jacob Wiley",3000,"NY@BKN 12/14/2017 07:30PM ET",4.65,"BKN","NY",0,0,0
"SG","Yakuba Ouattara",3000,"NY@BKN 12/14/2017 07:30PM ET",0,"BKN","NY",0,0,0
"PF","Luke Kornet",3000,"NY@BKN 12/14/2017 07:30PM ET",0,"NY","BKN",0,0,0
"PF","Isaiah Hicks",3000,"NY@BKN 12/14/2017 07:30PM ET",0,"NY","BKN",0,0,0
"SG/SF","Corey Brewer",3000,"LAL@CLE 12/14/2017 08:00PM ET",6.712,"LAL","CLE",9.79,8.3,7.5
"PG/SG","Josh Hart",3000,"LAL@CLE 12/14/2017 08:00PM ET",8.095,"LAL","CLE",12.45,12.9,32
"C","Andrew Bogut",3000,"LAL@CLE 12/14/2017 08:00PM ET",7.533,"LAL","CLE",0,0,0
"SG/SF","Cedi Osman",3000,"LAL@CLE 12/14/2017 08:00PM ET",4.958,"CLE","LAL",3.01,0,6
"PG/SG","Tyler Ennis",3000,"LAL@CLE 12/14/2017 08:00PM ET",4.396,"LAL","CLE",0,0,0
"PF/C","Ante Zizic",3000,"LAL@CLE 12/14/2017 08:00PM ET",3.775,"CLE","LAL",0,0,0
"PG/SG","Alex Caruso",3000,"LAL@CLE 12/14/2017 08:00PM ET",4.75,"LAL","CLE",0,0,0
"SG/SF","John Holland",3000,"LAL@CLE 12/14/2017 08:00PM ET",1.833,"CLE","LAL",0,0,0
"PF/C","Thomas Bryant",3000,"LAL@CLE 12/14/2017 08:00PM ET",0,"LAL","CLE",0,0,0
"SF/PF","Luol Deng",3000,"LAL@CLE 12/14/2017 08:00PM ET",5,"LAL","CLE",0,0,0
"PG/SG","Vander Blue",3000,"LAL@CLE 12/14/2017 08:00PM ET",0.938,"LAL","CLE",0,0,0
"PG","London Perrantes",3000,"LAL@CLE 12/14/2017 08:00PM ET",0,"CLE","LAL",0,0,0
"SG/SF","Vince Carter",3000,"SAC@MIN 12/14/2017 08:00PM ET",7.426,"SAC","MIN",2.7,0,15
"SG/SF","Malachi Richardson",3000,"SAC@MIN 12/14/2017 08:00PM ET",6.979,"SAC","MIN",0,0,0
"C","Georgios Papagiannis",3000,"SAC@MIN 12/14/2017 08:00PM ET",6.5,"SAC","MIN",0,0,0
"PG/SG","Aaron Brooks",3000,"SAC@MIN 12/14/2017 08:00PM ET",3.958,"MIN","SAC",0,0,7.75
"SG/SF","Marcus Georges-Hunt",3000,"SAC@MIN 12/14/2017 08:00PM ET",0.917,"MIN","SAC",0,0,7.75
"PF","Jack Cooley",3000,"SAC@MIN 12/14/2017 08:00PM ET",4.75,"SAC","MIN",0,0,0
"C","Cole Aldrich",3000,"SAC@MIN 12/14/2017 08:00PM ET",1.15,"MIN","SAC",0,0,4
"PF/C","Harry Giles",3000,"SAC@MIN 12/14/2017 08:00PM ET",0,"SAC","MIN",0,0,0
"SG/SF","Anthony Brown",3000,"SAC@MIN 12/14/2017 08:00PM ET",0,"MIN","SAC",0,0,0
"C","Justin Patton",3000,"SAC@MIN 12/14/2017 08:00PM ET",0,"MIN","SAC",0,0,0
