"LaMarcus Aldridge_SA","Kyrie Irving_BOS","Marc Gasol_MEM","Kawhi Leonard_SA","Tyreke Evans_MEM","Al Horford_BOS","Harrison Barnes_DAL","Mike Conley_MEM","Rudy Gay_SA","Jayson Tatum_BOS","JJ Barea_DAL","Jaylen Brown_BOS","Pau Gasol_SA","Kyle Anderson_SA","Marcus Smart_BOS","Danny Green_SA","Dennis Smith_DAL","Yogi Ferrell_DAL","Wesley Matthews_DAL","Marcus Morris_BOS","Dirk Nowitzki_DAL","JaMychal Green_MEM","Patty Mills_SA","Terry Rozier_BOS","Andrew Harrison_MEM","Tony Parker_SA","Dejounte Murray_SA","Aron Baynes_BOS","Manu Ginobili_SA","Seth Curry_DAL","Mario Chalmers_MEM","Chandler Parsons_MEM","Brandon Paul_SA","Bryn Forbes_SA","Davis Bertans_SA","Dillon Brooks_MEM","Dwight Powell_DAL","Devin Harris_DAL","Maxi Kleber_DAL","Daniel Theis_BOS","James Ennis III_MEM","Ben McLemore_MEM","Shane Larkin_BOS","Semi Ojeleye_BOS","Jarell Martin_MEM","Brandan Wright_MEM","Gordon Hayward_BOS","Abdel Nader_BOS","Jabari Bird_BOS","Vince Hunter_MEM","Wayne Selden_MEM","Kadeem Allen_BOS","Ivan Rabb_MEM","Deyonta Davis_MEM","Guerschon Yabusele_BOS","Kobi Simmons_MEM","Josh McRoberts_DAL","Jeff Withey_DAL","Salah Mejri_DAL","Darrun Hilliard_SA","Dorian Finney-Smith_DAL","Nerlens Noel_DAL","Matt Costello_SA","Joffrey Lauvergne_SA","Johnathan Motley_DAL","Antonius Cleveland_DAL","Derrick White_SA"
0,0,-30.1833333333333,0,-73.3854166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6979166666667,0,0,54.9854166666667,0,0,0,0,0,-2.30416666666667,24.875,0,0,0,2.77916666666667,0,0,0,0,0,3.59375,0,0,-11.8104166666667,-2.58333333333333,0,0,0,0,0,0,0,-23.8,0,0,0,0,0,0,0,0,0,0,0,0,0
-23.4875,0,0,-5.9625,0,0,0,0,8.234375,0,0,0,-12.7875,-13.96875,0,22.0625,0,0,0,0,0,0,0,0,0,33.89375,-7.884375,0,-22.365625,0,0,0,4.33125,35.5375,19.409375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.59375,0,0,0
5.915625,0,0,-13.58125,0,0,0,0,-6.1875,0,0,0,10.64375,10.40625,0,1.015625,0,0,0,0,0,0,0,0,0,-7.884375,3.575,0,8.4875,0,0,0,-0.43125,-10.721875,0.396875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.96875,0,0,0
0,39.2875,0,0,0,-120.653125,0,0,0,-20.70625,0,87.6125,0,0,28.290625,0,0,0,0,-49.81875,0,0,0,-1.21875,0,0,0,51.85625,0,0,0,0,0,0,0,0,0,0,0,-29.853125,0,0,43.70625,5.921875,0,0,0,-10.40625,0,0,0,0,0,0,-14.56875,0,0,0,0,0,0,0,0,0,0,0,0
-55.884375,0,0,-49.35625,0,0,0,0,1.5,0,0,0,42.575,-8.53125,0,9.546875,0,0,0,0,0,0,0,0,0,-22.365625,8.4875,0,80.575,0,0,0,7.05625,4.690625,12.478125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90625,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12.7833333333333,0,-40.3833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.5291666666667,0,0,-2.30416666666667,0,0,0,0,0,51.7166666666667,50.9,0,0,0,-9.64166666666667,0,0,0,0,0,-36.125,0,0,5.54166666666667,-0.366666666666667,0,0,0,0,0,0,0,-12.2625,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-16.275,0,-190.7875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.85,0,0,24.875,0,0,0,0,0,50.9,102.225,0,0,0,-29.2,0,0,0,0,0,-19.2375,0,0,-17.5125,2,0,0,0,0,0,0,0,-2.4875,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.7375,0,0,-9.275,0,0,0,0,3.90625,0,0,0,6.05625,-7.125,0,8.65625,0,0,0,0,0,0,0,0,0,4.33125,-0.43125,0,7.05625,0,0,0,2.175,7.4125,9.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.125,0,0,0
-53.740625,0,0,-0.33125,0,0,0,0,3.578125,0,0,0,-34.54375,-12.84375,0,2.9375,0,0,0,0,0,0,0,0,0,35.5375,-10.721875,0,4.690625,0,0,0,7.4125,69.7625,-3.80625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.546875,0,0,0
