"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
46,960145446,"CMSRAYRAY (3/3)",0,269.5,"F Al Horford SG Tyreke Evans G Kyrie Irving SF Jaylen Brown C LaMarcus Aldridge UTIL Harrison Barnes PG Yogi Ferrell PF Maxi Kleber",NA,"","","",NA
46,960183736,"AtmWorld",0,269.5,"C Marc Gasol SF JaMychal Green PG Kyrie Irving PF Jayson Tatum SG J.J. Barea UTIL Rudy Gay F LaMarcus Aldridge G Yogi Ferrell",NA,"","","",NA
46,960285202,"TSturm13",0,269.5,"F Al Horford C Marc Gasol SG Tyreke Evans G Kyrie Irving PF LaMarcus Aldridge SF Wesley Matthews UTIL Bryn Forbes PG Dejounte Murray",NA,"","","",NA
50,958547786,"LSUtigers2688 (3/9)",0,269.25,"C Marc Gasol PG Kyrie Irving G Marcus Smart UTIL Jayson Tatum SG J.J. Barea F LaMarcus Aldridge SF Harrison Barnes PF Maxi Kleber",NA,"","","",NA
50,959184518,"esko_1313",0,269.25,"SG Tyreke Evans G Kyrie Irving F Jayson Tatum C Dirk Nowitzki UTIL J.J. Barea SF Rudy Gay PF LaMarcus Aldridge PG Yogi Ferrell",NA,"","","",NA
50,960313202,"joefish5",0,269.25,"PF Al Horford C Marc Gasol SG Tyreke Evans G Kyrie Irving UTIL Marcus Smart F Jayson Tatum SF Rudy Gay PG Dejounte Murray",NA,"","","",NA
53,959634779,"loso180",0,268.75,"F Al Horford UTIL Marc Gasol PG Kyrie Irving SG Dillon Brooks PF Jayson Tatum G Manu Ginobili C LaMarcus Aldridge SF Harrison Barnes",NA,"","","",NA
53,960277173,"louiedog01 (8/20)",0,268.75,"F Al Horford C Marc Gasol SG Tyreke Evans G Kyrie Irving PF LaMarcus Aldridge SF Wesley Matthews UTIL Dwight Powell PG Dejounte Murray",NA,"","","",NA
55,960318450,"ihave6rolls",0,268.25,"C Al Horford UTIL Marc Gasol G Tyreke Evans SF Jaylen Brown SG J.J. Barea PF LaMarcus Aldridge F Wesley Matthews PG Dejounte Murray",NA,"","","",NA
56,960066468,"Diggy1984",0,268,"F Al Horford C Marc Gasol SF JaMychal Green G Kyrie Irving UTIL Marcus Smart PG J.J. Barea PF LaMarcus Aldridge SG Yogi Ferrell",NA,"","","",NA
56,960121144,"FlipMode45 (2/2)",0,268,"F Al Horford C Marc Gasol SF JaMychal Green PG Kyrie Irving UTIL Marcus Smart SG J.J. Barea PF LaMarcus Aldridge G Yogi Ferrell",NA,"","","",NA
56,960142526,"butterbeandog",0,268,"C Al Horford UTIL Marc Gasol PF JaMychal Green G Kyrie Irving SG J.J. Barea F LaMarcus Aldridge SF Wesley Matthews PG Yogi Ferrell",NA,"","","",NA
56,960218297,"SadSoxFan (17/20)",0,268,"C Marc Gasol SG Tyreke Evans G Kyrie Irving UTIL Andrew Harrison F Dirk Nowitzki SF Rudy Gay PF LaMarcus Aldridge PG Yogi Ferrell",NA,"","","",NA
56,960287793,"brando1124",0,268,"C Marc Gasol UTIL Kyrie Irving PF Jayson Tatum PG J.J. Barea SF Rudy Gay F LaMarcus Aldridge G Yogi Ferrell SG Bryn Forbes",NA,"","","",NA
61,959128349,"mrcse13 (9/20)",0,267.5,"F Al Horford C Marc Gasol UTIL JaMychal Green PG Kyrie Irving SF Rudy Gay PF LaMarcus Aldridge SG Yogi Ferrell G Dejounte Murray",NA,"","","",NA
61,959373634,"nhl2005 (1/10)",0,267.5,"PF Al Horford C Marc Gasol UTIL JaMychal Green SG Tyreke Evans PG Kyrie Irving F Jayson Tatum SF Harrison Barnes G Dejounte Murray",NA,"","","",NA
