"James Harden_HOU","Chris Paul_HOU","Kyle Lowry_TOR","DeMar DeRozan_TOR","Devin Booker_PHO","Dwight Howard_CHA","Kemba Walker_CHA","TJ Warren_PHO","Clint Capela_HOU","Nicolas Batum_CHA","Serge Ibaka_TOR","Jeremy Lamb_CHA","Trevor Ariza_HOU","Marvin Williams_CHA","Eric Gordon_HOU","Greg Monroe_PHO","Jonas Valanciunas_TOR","Tyson Chandler_PHO","Alex Len_PHO","Michael Kidd-Gilchrist_CHA","Mike James_PHO","Ryan Anderson_HOU","Tyler Ulis_PHO","Josh Jackson_PHO","Marquese Chriss_PHO","Frank Kaminsky_CHA","CJ Miles_TOR","Troy Daniels_PHO","Fred VanVleet_TOR","Cody Zeller_CHA","Jared Dudley_PHO","Jakob Poeltl_TOR","Pascal Siakam_TOR","Norman Powell_TOR","PJ Tucker_HOU","Michael Carter-Williams_CHA","Malik Monk_CHA","Delon Wright_TOR","OG Anunoby_TOR","Lucas Nogueira_TOR","Dragan Bender_PHO","Nene Hilario_HOU","Luc Richard Mbah a Moute_HOU","Alan Williams_PHO","Dwayne Bacon_CHA","Bobby Brown_HOU","Tarik Black_HOU","Lorenzo Brown_TOR","Brandon Knight_PHO","Alfonzo McKinnie_TOR","Malcolm Miller_TOR","Danuel House_PHO","Davon Reed_PHO","Alec Peters_PHO","Bruno Caboclo_TOR","Julyan Stone_CHA","Johnny O'Bryant III_CHA","Briante Weber_HOU","Treveon Graham_CHA","Marcus Paige_CHA","Mangok Mathiang_CHA","Demetrius Jackson_HOU","Troy Williams_HOU","Chinanu Onuaku_HOU","Zhou Qi_HOU"
0,0,-128.208333333333,7.15625,0,0,0,0,0,0,39.4583333333333,0,0,0,0,0,23.2708333333333,0,0,0,0,0,0,0,0,0,34.4479166666667,0,19.46875,0,0,115.645833333333,-21.7395833333333,34.2604166666667,0,0,0,0,23.875,-36.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35.9895833333333,4.46875,0,0,0,0,0,0,16.8541666666667,0,0,0,0,0,-16.9270833333333,0,0,0,0,0,0,0,0,0,4.67708333333333,0,-13.09375,0,0,-21.7395833333333,19.1458333333333,-33.9479166666667,0,0,0,0,27.21875,-0.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-59.6979166666667,-8.5,0,0,0,0,0,0,-32.6458333333333,0,0,0,0,0,29.8229166666667,0,0,0,0,0,0,0,0,0,-10.1666666666667,0,23,0,0,34.2604166666667,-33.9479166666667,60.3958333333333,0,0,0,0,-50.84375,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-1.83333333333333,-260.958333333333,0,0,-51.25,0,56.9166666666667,0,53.75,0,0,0,0,0,15.4791666666667,0,0,0,0,0,-1.41666666666667,0,0,0,27.7291666666667,0,0,0,0,0,100.291666666667,76.5,0,0,0,0,0,0,0,-7.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.3125,0,0,0,0,0,0
0,0,0,0,0,63.984375,-253.96875,0,0,-66.1875,0,73.984375,0,12.453125,0,0,0,0,0,-12.359375,0,0,0,0,0,61.53125,0,0,0,-15.90625,0,0,0,0,0,76.5,102.515625,0,0,0,0,0,0,0,-4.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.171875,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.4375,13.71875,0,0,0,0,0,0,59.25,0,0,0,0,0,-21.625,0,0,0,0,0,0,0,0,0,30.59375,0,-15.84375,0,0,23.875,27.21875,-50.84375,0,0,0,0,71.6875,-22.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35.15625,-5.0625,0,0,0,0,0,0,-24.1875,0,0,0,0,0,-1.40625,0,0,0,0,0,0,0,0,0,-16.3125,0,-1.6875,0,0,-36.84375,-0.28125,2.25,0,0,0,0,-22.78125,15.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-57.95,0,0,39.6625,0,0,0,0,0,0,0,-62.2375,0,68.0125,-21.6375,0,10.5375,0,15.175,4.65,23.425,0,0,-9.5125,0,0,-47.8,0,0,0,0,0,0,0,0,0,35.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
