"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19"
"Brook Lopez_LAL",11.75,NA,11.75,NA,NA,27.75,NA,NA,NA,24.5,NA,13.75,NA,NA
"Greg Monroe_PHO",NA,0,32.75,NA,NA,20,0,34,NA,0,37.25,NA,0,NA
"Isaiah Canaan_PHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.25,NA
"Bojan Bogdanovic_IND",NA,NA,19.25,NA,15.25,NA,28,NA,27,NA,29,NA,NA,NA
"Allen Crabbe_BKN",NA,NA,0,NA,NA,19.75,16.5,NA,NA,28.75,NA,10.5,NA,NA
"Lance Stephenson_IND",NA,NA,24.5,NA,13.5,NA,18.75,NA,12,NA,22,NA,NA,NA
"Terry Rozier_BOS",NA,NA,NA,12.5,NA,11.75,16,NA,25.25,NA,17,NA,21,NA
"David Nwaba_CHI",NA,0,NA,0,27.25,NA,8.75,NA,17.75,NA,14.5,NA,NA,NA
"Andre Iguodala_GS",19.25,NA,16,NA,0,NA,24,NA,29,NA,NA,20.75,NA,NA
"De'Aaron Fox_SAC",20,7.25,NA,NA,24.25,27.5,NA,NA,10.25,12,NA,4,NA,4.25
"Alec Burks_UTA",NA,22.5,NA,53.25,35.75,NA,41.25,21,NA,NA,20.75,NA,8.75,NA
"Ekpe Udoh_UTA",NA,10,NA,12,12.5,NA,8,0,NA,NA,0,NA,40.25,NA
"Marvin Williams_CHA",NA,NA,15.25,NA,29.5,NA,17.25,NA,14.25,NA,10.25,NA,15.5,NA
"Tyson Chandler_PHO",NA,12.25,0,NA,NA,42.5,37.5,0,NA,25,0,NA,13.5,NA
"Denzel Valentine_CHI",NA,24.5,NA,23.75,17,NA,13.75,NA,32.5,NA,19.75,NA,NA,NA
"Patty Mills_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA
