"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Jaylen Brown",5600,"BOS@MEM 12/16/2017 09:00PM ET",27.009,"BOS"
"PF/C","Pau Gasol",5500,"DAL@SA 12/16/2017 08:30PM ET",28.306,"SA"
"SG/SF","Dion Waiters",5400,"LAC@MIA 12/16/2017 08:00PM ET",24.88,"MIA"
"PF/C","Derrick Favors",5300,"UTA@CLE 12/16/2017 07:30PM ET",26.179,"UTA"
"SG/SF","Rodney Hood",5300,"UTA@CLE 12/16/2017 07:30PM ET",25.908,"UTA"
"PF/C","Greg Monroe",5300,"PHO@MIN 12/16/2017 08:00PM ET",23.103,"PHO"
"SF/PF","Jabari Parker",5200,"MIL@HOU 12/16/2017 08:00PM ET",0,"MIL"
"PG/SF","Kyle Anderson",5200,"DAL@SA 12/16/2017 08:30PM ET",24.489,"SA"
"PG/SG","Dwyane Wade",5100,"UTA@CLE 12/16/2017 07:30PM ET",24.5,"CLE"
"SG/SF","Marcus Smart",5100,"BOS@MEM 12/16/2017 09:00PM ET",24.393,"BOS"
"PG","Ricky Rubio",5000,"UTA@CLE 12/16/2017 07:30PM ET",26.352,"UTA"
"SF/PF","Al-Farouq Aminu",5000,"POR@CHA 12/16/2017 07:00PM ET",22.967,"POR"
"SG/SF","Jeremy Lamb",5000,"POR@CHA 12/16/2017 07:00PM ET",27.077,"CHA"
"SG/SF","Danny Green",5000,"DAL@SA 12/16/2017 08:30PM ET",21.683,"SA"
"PG/SG","Dennis Smith Jr.",5000,"DAL@SA 12/16/2017 08:30PM ET",26.967,"DAL"
"PF/C","Kelly Olynyk",4900,"LAC@MIA 12/16/2017 08:00PM ET",20.667,"MIA"
"SG/SF","Joe Ingles",4800,"UTA@CLE 12/16/2017 07:30PM ET",24.696,"UTA"
"SG/SF","Trevor Ariza",4800,"MIL@HOU 12/16/2017 08:00PM ET",24.406,"HOU"
"PG/SG","Yogi Ferrell",4800,"DAL@SA 12/16/2017 08:30PM ET",18.25,"DAL"
"SG","Eric Gordon",4700,"MIL@HOU 12/16/2017 08:00PM ET",27.406,"HOU"
"PG/SG","Milos Teodosic",4700,"LAC@MIA 12/16/2017 08:00PM ET",19,"LAC"
"SG/SF","Wesley Matthews",4700,"DAL@SA 12/16/2017 08:30PM ET",23.052,"DAL"
"PG/SG","Alec Burks",4600,"UTA@CLE 12/16/2017 07:30PM ET",18.824,"UTA"
"SF/PF","Marcus Morris",4600,"BOS@MEM 12/16/2017 09:00PM ET",23.281,"BOS"
"SF","Michael Kidd-Gilchrist",4600,"POR@CHA 12/16/2017 07:00PM ET",20.31,"CHA"
"PF/C","Alex Len",4600,"PHO@MIN 12/16/2017 08:00PM ET",23.87,"PHO"
"PF/C","Dirk Nowitzki",4600,"DAL@SA 12/16/2017 08:30PM ET",23.009,"DAL"
"PG","Jarrett Jack",4500,"OKC@NY 12/16/2017 07:30PM ET",19.933,"NY"
"SF/PF","JaMychal Green",4500,"BOS@MEM 12/16/2017 09:00PM ET",20.625,"MEM"
"SF/PF","Marvin Williams",4500,"POR@CHA 12/16/2017 07:00PM ET",19.639,"CHA"
"PG/SG","Malcolm Brogdon",4500,"MIL@HOU 12/16/2017 08:00PM ET",24.15,"MIL"
"C","John Henson",4500,"MIL@HOU 12/16/2017 08:00PM ET",21.46,"MIL"
"SG/SF","Josh Richardson",4500,"LAC@MIA 12/16/2017 08:00PM ET",20.12,"MIA"
"PG","Patty Mills",4500,"DAL@SA 12/16/2017 08:30PM ET",19.902,"SA"
"PG/SG","Frank Ntilikina",4400,"OKC@NY 12/16/2017 07:30PM ET",16.12,"NY"
"PG/SG","Terry Rozier",4400,"BOS@MEM 12/16/2017 09:00PM ET",20.458,"BOS"
"PG/SG","Andrew Harrison",4400,"BOS@MEM 12/16/2017 09:00PM ET",14.284,"MEM"
"PG/SG","Tyler Johnson",4400,"LAC@MIA 12/16/2017 08:00PM ET",20.8,"MIA"
"C","Tyson Chandler",4400,"PHO@MIN 12/16/2017 08:00PM ET",22.869,"PHO"
"PG","Dejounte Murray",4400,"DAL@SA 12/16/2017 08:30PM ET",17.25,"SA"
"PG","Tony Parker",4400,"DAL@SA 12/16/2017 08:30PM ET",18.857,"SA"
"PG","Tyler Ulis",4300,"PHO@MIN 12/16/2017 08:00PM ET",18.405,"PHO"
