"Karl-Anthony Towns_MIN","Jimmy Butler_MIN","Damian Lillard_POR","Nikola Jokic_DEN","LaMarcus Aldridge_SA","Paul Millsap_DEN","CJ McCollum_POR","Jusuf Nurkic_POR","Gary Harris_DEN","Will Barton_DEN","Jeff Teague_MIN","Kawhi Leonard_SA","Andrew Wiggins_MIN","Taj Gibson_MIN","Jamal Murray_DEN","Rudy Gay_SA","Pau Gasol_SA","Kyle Anderson_SA","Danny Green_SA","Trey Lyles_DEN","Al-Farouq Aminu_POR","Wilson Chandler_DEN","Tony Parker_SA","Patty Mills_SA","Dejounte Murray_SA","Mason Plumlee_DEN","Manu Ginobili_SA","Evan Turner_POR","Ed Davis_POR","Kenneth Faried_DEN","Emmanuel Mudiay_DEN","Jamal Crawford_MIN","Torrey Craig_DEN","Shabazz Napier_POR","Gorgui Dieng_MIN","Brandon Paul_SA","Davis Bertans_SA","Maurice Harkless_POR","Bryn Forbes_SA","Noah Vonleh_POR","Zach Collins_POR","Nemanja Bjelica_MIN","Meyers Leonard_POR","Pat Connaughton_POR","Shabazz Muhammad_MIN","Tyus Jones_MIN","Juancho Hernangomez_DEN","Caleb Swanigan_POR","Malik Beasley_DEN","CJ Wilcox_POR","Darrun Hilliard_SA","Jake Layman_POR","Matt Costello_SA","Joffrey Lauvergne_SA","Derrick White_SA","Wade Baldwin IV_POR","Richard Jefferson_DEN","Aaron Brooks_MIN","Darrell Arthur_DEN","Cole Aldrich_MIN","Anthony Brown_MIN","Marcus Georges-Hunt_MIN","Monte Morris_DEN","Justin Patton_MIN","Tyler Lydon_DEN"
0,0,0,0,-36.8229166666667,0,0,0,0,0,0,12.1458333333333,0,0,0,52.8666666666667,58.23125,12.7625,83.8770833333333,0,0,0,88.2354166666667,0,-90.7270833333333,0,-38.7979166666667,0,0,0,0,0,0,0,0,-5.63125,-43.0395833333333,0,27.7916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.2041666666667,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29.6395833333333,0,0,0,0,0,0,-34.2291666666667,0,0,0,-68.8708333333333,-86.04375,-24.7375,-90.6604166666667,0,0,0,-90.7270833333333,0,119.460416666667,0,35.6645833333333,0,0,0,0,0,0,0,0,12.21875,81.2104166666667,0,-7.69583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6958333333333,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-78.2678571428571,0,0,0,0,41.3616071428571,3.05208333333333,0,0,0,0,117.171130952381,0,0,0,0,28.4300595238095,0,58.1413690476191,0,0,0,96.5714285714286,0,0,0,-27.7842261904762,-39.2470238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.54166666666667,0,0,0,0,0,0,0,8.60714285714286,0,14.4196428571429,0,0,0,0,0,0
0,0,0,0,-38.5395833333333,0,0,0,0,0,0,-45.2708333333333,0,0,0,-14.6291666666667,10.64375,-15.0125,-15.0145833333333,0,0,0,-38.7979166666667,0,35.6645833333333,0,71.6104166666667,0,0,0,0,0,0,0,0,8.75625,30.0145833333333,0,3.97083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8041666666667,0,0,0,0,0,0,0,0,0,0,0
0,0,-42.6375,0,0,0,20.653125,10.6875,0,0,0,0,0,0,0,0,0,0,0,0,-24.4125,0,0,0,0,0,0,40.10625,19.696875,0,0,0,0,-9.50625,0,0,0,-5.690625,0,-19.275,29.034375,0,-35.60625,-20.446875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-28.353125,0,0,0,28.978125,-117.359375,0,0,0,0,0,0,0,0,0,0,0,0,8.284375,0,0,0,0,0,0,19.696875,59.175,0,0,0,0,40.95625,0,0,0,-15.490625,0,-25.190625,54.803125,0,-10.9625,-2.878125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,29.422619047619,0,0,0,0,6.35863095238095,70.96875,0,0,0,0,-53.7306547619048,0,0,0,0,-20.2857142857143,0,-71.3318452380952,0,0,0,-27.7842261904762,0,0,0,124.619047619048,29.7872023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.5208333333333,0,0,0,0,0,0,0,16.953869047619,0,-26.7857142857143,0,0,0,0,0,0
0,0,0,14.2440476190476,0,0,0,0,-14.0877976190476,28.1145833333333,0,0,0,0,-48.9360119047619,0,0,0,0,18.858630952381,0,-43.6056547619048,0,0,0,-39.2470238095238,0,0,0,29.7872023809524,50.2440476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.33333333333333,0,0,0,0,0,0,0,6.43154761904762,0,-12.9017857142857,0,0,0,0,0,0
-15.2991071428571,-16.0569196428571,0,0,0,0,0,0,0,0,6.76450892857143,0,15.2332589285714,7.79910714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5435267857143,0,0,2.11383928571429,0,0,0,0,0,0,0,0,0,-0.0770089285714286,6.49330357142857,0,0,0,0,0,0,0,0,0,0,0,-1.75111607142857,0,-2.83928571428571,0,-6.34040178571429,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.115625,0,0,0,-5.975,-116.9375,0,0,0,0,0,0,0,0,0,0,0,0,-25.590625,0,0,0,0,0,0,-9.50625,40.95625,0,0,0,0,123.14375,0,0,0,-29.50625,0,31.075,-0.55625,0,100.084375,56.028125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-67.875,-10.8102678571429,0,0,0,0,0,0,0,0,-83.5691964285714,0,64.171875,-24.2410714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11383928571429,0,0,118.424107142857,0,0,0,0,0,0,0,0,0,-0.984375,49.7276785714286,0,0,0,0,0,0,0,0,0,0,0,27.2209821428571,0,4.32142857142857,0,1.83705357142857,0,0,0
0,0,0,0,-9.10625,0,0,0,0,0,0,-9.9375,0,0,0,-3.7625,-5.34375,-9.2625,-2.93125,0,0,0,-5.63125,0,12.21875,0,8.75625,0,0,0,0,0,0,0,0,3.09375,16.10625,0,6.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1375,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-29.2104166666667,0,0,0,0,0,0,-55.4291666666667,0,0,0,-10.4833333333333,-9.99375,-74.8375,-2.02291666666667,0,0,0,-43.0395833333333,0,81.2104166666667,0,30.0145833333333,0,0,0,0,0,0,0,0,16.10625,128.735416666667,0,-2.43333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6208333333333,0,0,0,0,0,0,0,0,0,0,0
0,0,-8.871875,0,0,0,5.0125,19.359375,0,0,0,0,0,0,0,0,0,0,0,0,30.353125,0,0,0,0,0,0,-5.690625,-15.490625,0,0,0,0,-29.50625,0,0,0,14.8875,0,-8.571875,-7.85625,0,-21.6375,-15.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-42.8041666666667,0,0,0,0,0,0,-0.441666666666667,0,0,0,2.37916666666667,-28.35,-10.525,1.65833333333333,0,0,0,27.7916666666667,0,-7.69583333333333,0,3.97083333333333,0,0,0,0,0,0,0,0,6.025,-2.43333333333333,0,55.8166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32083333333333,0,0,0,0,0,0,0,0,0,0,0
0,0,37.4625,0,0,0,-32.728125,42.59375,0,0,0,0,0,0,0,0,0,0,0,0,-38.1125,0,0,0,0,0,0,-19.275,-25.190625,0,0,0,0,31.075,0,0,0,-8.571875,0,40.26875,-42.209375,0,63.24375,35.971875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-34.471875,0,0,0,36.45625,-90.578125,0,0,0,0,0,0,0,0,0,0,0,0,15.803125,0,0,0,0,0,0,29.034375,54.803125,0,0,0,0,-0.55625,0,0,0,-7.85625,0,-42.209375,66.575,0,-53.55,-25.63125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,48.215625,0,0,0,-41.54375,-19.71875,0,0,0,0,0,0,0,0,0,0,0,0,-43.634375,0,0,0,0,0,0,-35.60625,-10.9625,0,0,0,0,100.084375,0,0,0,-21.6375,0,63.24375,-53.55,0,128.35625,71.61875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,36.99375,0,0,0,-26.30625,-13.359375,0,0,0,0,0,0,0,0,0,0,0,0,-32.33125,0,0,0,0,0,0,-20.446875,-2.878125,0,0,0,0,56.028125,0,0,0,-15.775,0,35.971875,-25.63125,0,71.61875,42.51875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.334821428571429,0.3046875,0,0,0,0,0,0,0,0,-2.26674107142857,0,-0.592633928571429,0.200892857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0770089285714286,0,0,-0.984375,0,0,0,0,0,0,0,0,0,0.0703125,1.57366071428571,0,0,0,0,0,0,0,0,0,0,0,0.190848214285714,0,-0.0535714285714286,0,-0.157366071428571,0,0,0
-68.7767857142857,-63.2254464285714,0,0,0,0,0,0,0,0,-141.743303571429,0,60.078125,30.1696428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49330357142857,0,0,49.7276785714286,0,0,0,0,0,0,0,0,0,1.57366071428571,159.620535714286,0,0,0,0,0,0,0,0,0,0,0,25.6629464285714,0,-4.32142857142857,0,-6.83705357142857,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-21.1666666666667,0,0,0,0,13.2708333333333,-56.3958333333333,0,0,0,0,24.1145833333333,0,0,0,0,13.28125,0,53.25,0,0,0,-4.54166666666667,0,0,0,-45.5208333333333,-5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.125,0,0,0,0,0,0,0,-16.46875,0,5.9375,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7.06666666666667,0,0,0,0,0,0,9.71666666666667,0,0,0,-19.1166666666667,-40.125,-14.225,-43.5958333333333,0,0,0,-33.2041666666667,0,36.6958333333333,0,14.8041666666667,0,0,0,0,0,0,0,0,3.1375,12.6208333333333,0,2.32083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0666666666667,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.86904761904762,0,0,0,0,-6.02529761904762,25.3229166666667,0,0,0,0,-0.404761904761905,0,0,0,0,1.27529761904762,0,-25.8035714285714,0,0,0,8.60714285714286,0,0,0,16.953869047619,6.43154761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.46875,0,0,0,0,0,0,0,10.3065476190476,0,-2.27678571428571,0,0,0,0,0,0
1.14732142857143,-2.21763392857143,0,0,0,0,0,0,0,0,-32.5658482142857,0,12.3493303571429,-6.88839285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.75111607142857,0,0,27.2209821428571,0,0,0,0,0,0,0,0,0,0.190848214285714,25.6629464285714,0,0,0,0,0,0,0,0,0,0,0,12.7756696428571,0,3.01785714285714,0,4.43638392857143,0,0,0
0,0,0,-8.21428571428571,0,0,0,0,-1.47321428571429,0.9375,0,0,0,0,11.4285714285714,0,0,0,0,3.66071428571429,0,16.0714285714286,0,0,0,14.4196428571429,0,0,0,-26.7857142857143,-12.9017857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9375,0,0,0,0,0,0,0,-2.27678571428571,0,8.03571428571429,0,0,0,0,0,0
12.9285714285714,5.05357142857143,0,0,0,0,0,0,0,0,1.91071428571429,0,-2.73214285714286,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.83928571428571,0,0,4.32142857142857,0,0,0,0,0,0,0,0,0,-0.0535714285714286,-4.32142857142857,0,0,0,0,0,0,0,0,0,0,0,3.01785714285714,0,2,0,3.58928571428571,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.6919642857143,0.416294642857143,0,0,0,0,0,0,0,0,13.7555803571429,0,-8.59709821428571,-4.64732142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.34040178571429,0,0,1.83705357142857,0,0,0,0,0,0,0,0,0,-0.157366071428571,-6.83705357142857,0,0,0,0,0,0,0,0,0,0,0,4.43638392857143,0,3.58928571428571,0,8.40066964285714,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
