Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,Opponent,Projection,Projection_dfn,Actual_fpts,HomeTeam,AwayTeam,IsHome,Date,Contest
C,Willie Reed,3000,PHO@LAC 12/20/2017 10:30PM ET,9.927,LAC,PHO,0.0,0.0,16.5,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG/SG,Brandon Knight,3000,PHO@LAC 12/20/2017 10:30PM ET,0.0,PHO,LAC,0.0,0.0,0.0,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
C,Alan Williams,3000,PHO@LAC 12/20/2017 10:30PM ET,0.0,PHO,LAC,0.0,0.0,0.0,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG/SF,Danuel House,3000,PHO@LAC 12/20/2017 10:30PM ET,6.313,PHO,LAC,0.0,7.1,8.75,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,Brice Johnson,3000,PHO@LAC 12/20/2017 10:30PM ET,5.969,LAC,PHO,0.0,0.0,0.0,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG/SF,Davon Reed,3000,PHO@LAC 12/20/2017 10:30PM ET,0.0,PHO,LAC,0.0,0.0,0.0,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG,Sindarius Thornwell,3000,PHO@LAC 12/20/2017 10:30PM ET,8.629,LAC,PHO,0.0,7.1,0.0,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF,Alec Peters,3000,PHO@LAC 12/20/2017 10:30PM ET,3.75,PHO,LAC,0.0,0.0,0.0,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SF/PF,Kevin Durant,11600,MEM@GS 12/20/2017 10:30PM ET,49.47,GS,MEM,0.0,55.1,38.0,GS,MEM,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG,Russell Westbrook,11400,UTA@OKC 12/20/2017 08:00PM ET,54.725,OKC,UTA,0.0,55.2,56.0,OKC,UTA,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,James Harden,11000,LAL@HOU 12/20/2017 08:00PM ET,56.586,HOU,LAL,0.0,58.7,71.25,HOU,LAL,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,Chris Paul,9800,LAL@HOU 12/20/2017 08:00PM ET,44.433,HOU,LAL,0.0,52.9,20.75,HOU,LAL,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Nikola Vucevic,9400,ORL@CHI 12/20/2017 08:00PM ET,40.169,ORL,CHI,0.0,44.6,38.5,CHI,ORL,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,Stephen Curry,9300,MEM@GS 12/20/2017 10:30PM ET,46.924,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
PG/SG,Victor Oladipo,9200,IND@ATL 12/20/2017 07:30PM ET,43.167,IND,ATL,0.0,46.6,34.75,ATL,IND,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Andre Drummond,9100,DET@DAL 12/20/2017 08:30PM ET,43.308,DET,DAL,0.0,43.1,31.25,DAL,DET,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
C,Karl-Anthony Towns,9000,MIN@DEN 12/20/2017 09:00PM ET,43.355,MIN,DEN,0.0,47.3,48.5,DEN,MIN,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
SG,Jimmy Butler,8800,MIN@DEN 12/20/2017 09:00PM ET,38.5,MIN,DEN,0.0,40.8,36.5,DEN,MIN,False,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max]
