Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,FPPM,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exposure,Con.,Value,Mins,Score,Val,Date
Terry Rozier,PG/SGPGSG,BOS,@ MEM,7th,99.25,4400,4.2,36.6,19.9,0.88,19.3,8.4,22.7,23.43,18.11,18.11,%,53,4.1,20.0,21.0,4.8,2017-12-16
Frank Ntilikina,PG/SGPGSG,NYK,vs OKC,1st,99.0,4400,6.2,36.1,16.1,0.81,19.2,6.2,19.9,26.96,19.01,19.01,%,47,4.3,13.0,3.25,0.7,2017-12-16
Mike James,PG,PHX,@ MIN,19th,103.0,4300,9.3,40.8,22.1,1.05,26.4,10.0,21.1,20.39,22.76,22.76,%,59,5.3,0.0,0.0,,2017-12-16
Tyler Ulis,PG,PHX,@ MIN,19th,103.0,4300,12.0,41.6,18.4,0.79,19.5,7.8,23.4,29.71,24.69,24.69,%,54,5.7,21.0,6.75,1.6,2017-12-16
Bam Adebayo,PF/CPFC,MIA,vs LAC,26th,106.25,4200,9.3,43.0,14.4,0.87,13.8,3.6,16.5,23.0,23.71,23.71,%,33,5.6,28.0,17.75,4.2,2017-12-16
Ryan Anderson,PF/CPFC,HOU,vs MIL,5th,115.75,4200,7.2,40.4,22.0,0.78,16.2,8.8,28.3,32.3,21.41,21.41,%,57,5.1,23.0,12.5,3.0,2017-12-16
Kyle O'Quinn,PF/CPFC,NYK,vs OKC,10th,99.0,4200,1.9,37.4,19.1,1.21,19.2,4.5,15.8,14.29,17.09,17.09,%,47,4.1,24.0,21.25,5.1,2017-12-16
Manu Ginobili,SG/SFSGSF,SAS,vs DAL,16th,101.75,4100,2.1,29.9,15.4,0.76,22.2,6.9,20.2,18.7,14.03,14.03,%,48,3.4,22.0,24.75,6.0,2017-12-16
Troy Daniels,SG,PHX,@ MIN,8th,103.0,4100,7.2,39.2,11.0,0.68,17.4,5.8,16.1,26.71,20.91,20.91,%,17,5.1,27.0,19.25,4.7,2017-12-16
Wesley Johnson,SG/SFSGSF,LAC,@ MIA,23rd,100.25,4100,3.9,32.7,17.3,0.71,14.8,6.4,24.4,22.0,16.26,16.26,%,52,4.0,12.0,10.25,2.5,2017-12-16
Aron Baynes,C,BOS,@ MEM,9th,99.25,4100,3.7,29.8,15.2,0.87,17.4,5.0,17.5,17.68,14.9,14.9,%,51,3.6,27.0,20.0,4.9,2017-12-16
Michael Beasley,SF/PFSFPF,NYK,vs OKC,9th,99.0,4100,0.0,32.4,15.3,0.97,29.3,7.8,15.8,14.0,13.87,13.87,%,39,3.4,37.0,46.25,11.3,2017-12-16
Jeff Green,SF/PFSFPF,CLE,vs UTA,4th,109.75,4100,7.5,38.4,19.0,0.89,21.2,7.8,21.4,24.21,20.72,20.72,%,54,5.1,17.0,19.25,4.7,2017-12-16
Ed Davis,PF/CPFC,POR,@ CHA,17th,101.25,4000,0.0,22.9,15.5,0.93,13.6,3.6,16.7,11.2,9.48,9.48,%,57,2.4,22.0,16.75,4.2,2017-12-16
J.R. Smith,SG/SFSGSF,CLE,vs UTA,1st,109.75,4000,7.4,31.9,18.0,0.6,13.3,7.6,30.1,32.25,17.9,17.9,%,61,4.5,34.0,13.25,3.3,2017-12-16
Brandon Paul,SG,SAS,vs DAL,16th,101.75,3900,0.0,32.4,8.5,0.69,13.2,2.8,12.4,20.0,13.56,13.56,%,0,3.5,12.0,4.25,1.1,2017-12-16
Bryn Forbes,PG/SGPGSG,SAS,vs DAL,20th,101.75,3900,3.1,29.5,11.5,0.61,16.5,6.3,18.8,25.3,14.4,14.4,%,34,3.7,33.0,14.0,3.6,2017-12-16
Frank Kaminsky,PF/CPFC,CHA,vs POR,7th,104.25,3900,3.1,36.0,18.7,0.85,21.0,9.2,22.1,20.2,17.17,17.17,%,50,4.4,23.0,12.0,3.1,2017-12-16
Mario Chalmers,PG,MEM,vs BOS,15th,93.25,3900,10.6,42.9,18.6,0.82,19.7,7.1,22.8,29.0,24.45,24.45,%,50,6.3,25.0,11.0,2.8,2017-12-16
Doug McDermott,SF/PFSFPF,NYK,vs OKC,9th,99.0,3900,7.7,29.4,15.1,0.64,14.6,7.0,23.7,27.75,17.01,17.01,%,59,4.4,32.0,17.25,4.4,2017-12-16
Davis Bertans,SF/PFSFPF,SAS,vs DAL,10th,101.75,3800,2.8,33.4,9.0,0.93,22.0,3.6,9.7,18.3,15.88,15.88,%,3,4.2,26.0,25.75,6.8,2017-12-16
Josh Jackson,SG/SFSGSF,PHX,@ MIN,12th,103.0,3800,6.8,34.6,16.9,0.78,23.8,8.9,21.7,26.43,18.71,18.71,%,53,4.9,21.0,24.0,6.3,2017-12-16
Marquese Chriss,PF/CPFC,PHX,@ MIN,6th,103.0,3800,4.9,34.2,17.0,0.86,15.7,5.6,19.7,24.0,17.45,17.45,%,51,4.6,16.0,7.5,2.0,2017-12-16
Gorgui Dieng,PF/CPFC,MIN,vs PHX,23rd,115.0,3800,3.4,32.5,16.2,0.95,18.0,5.1,17.1,17.27,15.91,15.91,%,49,4.2,15.0,8.0,2.1,2017-12-16
Wayne Ellington,SG/SFSGSF,MIA,vs LAC,26th,106.25,3800,7.5,42.2,15.9,0.78,17.2,6.9,20.4,25.6,22.4,22.4,%,38,5.9,23.0,15.75,4.1,2017-12-16
Evan Turner,SG/SFSGSF,POR,@ CHA,18th,101.25,3800,3.4,29.5,17.4,0.68,17.2,7.4,25.6,25.3,14.57,14.57,%,57,3.8,34.0,19.25,5.1,2017-12-16
Andre Roberson,SG/SFSGSF,OKC,@ NYK,9th,103.0,3800,7.4,29.9,15.5,0.59,9.5,4.1,26.2,28.45,17.01,17.01,%,58,4.5,21.0,16.25,4.3,2017-12-16
