"LeBron James_CLE","Kevin Durant_GS","Stephen Curry_GS","Karl-Anthony Towns_MIN","Jimmy Butler_MIN","Kevin Love_CLE","Draymond Green_GS","Lonzo Ball_LAL","Klay Thompson_GS","Zach Randolph_SAC","Harrison Barnes_DAL","Isaiah Thomas_CLE","Brandon Ingram_LAL","Jeff Teague_MIN","Andrew Wiggins_MIN","Kentavious Caldwell-Pope_LAL","Taj Gibson_MIN","JJ Barea_DAL","Kyle Kuzma_LAL","Dwyane Wade_CLE","Buddy Hield_SAC","Julius Randle_LAL","Willie Cauley-Stein_SAC","Jordan Clarkson_LAL","Dennis Smith_DAL","Brook Lopez_LAL","Wesley Matthews_DAL","Yogi Ferrell_DAL","Larry Nance_LAL","Dirk Nowitzki_DAL","De'Aaron Fox_SAC","Jeff Green_CLE","Andre Iguodala_GS","George Hill_SAC","JR Smith_CLE","Seth Curry_DAL","Frank Mason III_SAC","Bogdan Bogdanovic_SAC","Shaun Livingston_GS","Kyle Korver_CLE","Gorgui Dieng_MIN","Dwight Powell_DAL","Jae Crowder_CLE","Tristan Thompson_CLE","David West_GS","Jordan Bell_GS","Derrick Rose_CLE","Jamal Crawford_MIN","Garrett Temple_SAC","Omri Casspi_GS","Maxi Kleber_DAL","Iman Shumpert_CLE","Nemanja Bjelica_MIN","Jakarr Sampson_SAC","Shabazz Muhammad_MIN","Tyus Jones_MIN","Devin Harris_DAL","Nick Young_GS","Patrick McCaw_GS","Ivica Zubac_LAL","Skal Labissiere_SAC","Zaza Pachulia_GS","Quinn Cook_GS","Jose Calderon_CLE","Kosta Koufos_SAC","Justin Jackson_SAC","Channing Frye_CLE","Salah Mejri_DAL","Josh McRoberts_DAL","JaVale McGee_GS","Jeff Withey_DAL","Dorian Finney-Smith_DAL","Nerlens Noel_DAL","Damian Jones_GS","Johnathan Motley_DAL","Antonius Cleveland_DAL","Kevon Looney_GS","Chris Boucher_GS","Luol Deng_LAL","Andrew Bogut_LAL","Corey Brewer_LAL","John Holland_CLE","Vander Blue_LAL","Alex Caruso_LAL","London Perrantes_CLE","Josh Hart_LAL","Tyler Ennis_LAL","Cedi Osman_CLE","Thomas Bryant_LAL","Ante Zizic_CLE","Vince Carter_SAC","Aaron Brooks_MIN","Cole Aldrich_MIN","Jack Cooley_SAC","Anthony Brown_MIN","Marcus Georges-Hunt_MIN","Justin Patton_MIN","Malachi Richardson_SAC","Georgios Papagiannis_SAC","Harry Giles_SAC"
0,0,0,0,0,0,0,0,0,19.1875,0,0,0,0,0,0,0,0,0,0,194.94375,0,-199.98125,0,0,0,0,0,0,0,-12.86875,0,0,-31.81875,0,0,28.73125,-25.6875,0,0,0,0,0,0,0,0,0,0,-47.6125,0,0,0,0,0,0,0,0,0,0,0,-94.63125,0,0,0,-1.18125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54.59375,0,0,0,0,0,0,-1.1,0,0
0,0,0,0,0,0,0,24.6875,0,0,0,0,51.5989583333333,0,0,-57.078125,0,0,-44.59375,0,0,31.515625,0,8.734375,0,6.90104166666667,0,0,-23.2447916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.875,-24.2447916666667,0,0,0,0,14.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,-199.98125,0,250.54375,0,0,0,0,0,0,0,11.75625,0,0,19.65625,0,0,-11.03125,4.675,0,0,0,0,0,0,0,0,0,0,49.2375,0,0,0,0,0,0,0,0,0,0,0,116.15625,0,0,0,-21.99375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.10625,0,0,0,0,0,0,2.3,0,0
0,0,0,0,0,0,0,-14.4375,0,0,0,0,96.734375,0,0,51.765625,0,0,-122.697916666667,0,0,8.734375,0,80.3072916666667,0,-71.296875,0,0,51.8072916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.625,28.2239583333333,0,0,0,0,-26.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,140.01875,0,-43.340625,-50.24375,0,58.540625,0,0,0,0,0,0,0,0,0,0,0,-50.465625,0,0,0,0,0,0,0,0,27.828125,0,0,0,0,0,10.44375,0,0,0,0,0,0,0,0,0,0,17.715625,0,0,7.725,0,0,0,0,-8.665625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,29.9583333333333,0,0,0,0,-65.5364583333333,0,0,-72.0677083333333,0,0,94.59375,0,0,6.90104166666667,0,-71.296875,0,70.640625,0,0,-59.6302083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.375,-39.3385416666667,0,0,0,0,27.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-6.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.340625,0,45.6125,23.19375,0,-33.646875,0,0,0,0,0,0,0,0,0,0,0,36.659375,0,0,0,0,0,0,0,0,-63.328125,0,0,0,0,0,21.19375,0,0,0,0,0,0,0,0,0,0,14.746875,0,0,0.6,0,0,0,0,8.63125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,-50.24375,0,23.19375,40.79375,0,-31.840625,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,-15.9375,0,0,0,0,0,-17.08125,0,0,0,0,0,0,0,0,0,0,-1.615625,0,0,-10.05,0,0,0,0,-1.89375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-31.0833333333333,0,0,0,0,24.0260416666667,0,0,95.2864583333333,0,0,-49.1979166666667,0,0,-23.2447916666667,0,51.8072916666667,0,-59.6302083333333,0,0,60.8489583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.125,43.2239583333333,0,0,0,0,-35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,58.540625,0,-33.646875,-31.840625,0,40.04375,0,0,0,0,0,0,0,0,0,0,0,-36.365625,0,0,0,0,0,0,0,0,33.515625,0,0,0,0,0,-3.684375,0,0,0,0,0,0,0,0,0,0,-2.4625,0,0,8.925,0,0,0,0,0.721875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
