"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Mario Chalmers","PG","MEM","@ GSW","12th",97.75,3800,5,37.1,18.4,0.8,19.7,7.2,22.9,25,18.73,18.73,"%",50,4.9,27,26,6.8
"Emmanuel Mudiay","PG","DEN","vs MIN","16th",108.5,3800,0,33.7,18.4,0.89,24.4,8.4,20.7,15,12.78,12.78,"%",43,3.4,NA,NA,NA
"Reggie Bullock","SG/SFSGSF","DET","@ DAL","11th",98,3800,4,34.3,10.3,0.61,12.6,4,17,30,17.01,17.01,"%",16,4.5,24,5.5,1.4
"Jamil Wilson","SF/PFSFPF","LAC","vs PHX","17th",110.25,3700,7.2,31.2,11.7,0.73,16.9,5.3,16.1,24,17.52,17.52,"%",41,4.7,28,21.5,5.8
"Fred VanVleet","PG","TOR","@ CHA","14th",107.25,3700,3.4,30,14.7,0.86,18.4,5.9,17,17,14.79,14.79,"%",48,4,24,24.5,6.6
"Arron Afflalo","SG/SFSGSF","ORL","@ CHI","28th",102.75,3700,0.6,20.7,5.7,0.44,9.9,2.6,13.1,18,9.2,9.2,"%",0,2.5,9,3.5,0.9
"Jonas Jerebko","SF/PFSFPF","UTA","@ OKC","11th",94.75,3700,0.2,30.8,14.4,0.86,15.1,5,16.7,14,13.31,13.31,"%",39,3.6,25,13,3.5
"Luke Kennard","SG","DET","@ DAL","16th",98,3700,1.6,26.7,11.6,0.73,18,5.6,16,18,12.33,12.33,"%",38,3.3,17,12.25,3.3
"Jamal Crawford","SG","MIN","@ DEN","10th",107.5,3700,3.7,30.3,15,0.87,26.1,8.1,17.3,18,15.08,15.08,"%",49,4.1,28,32.75,8.9
"Jordan Mickey","PF/CPFC","MIA","@ BOS","8th",95.5,3700,11.1,42.4,12.9,1.08,16.6,3.4,11.9,24,24.48,24.48,"%",31,6.6,24,19.5,5.3
"Marquese Chriss","PF/CPFC","PHX","@ LAC","15th",105.25,3700,1.3,30.9,16.4,0.84,16,5.6,19.5,18,14,14,"%",48,3.8,25,25,6.8
"Marco Belinelli","SG","ATL","vs IND","18th",104.25,3700,4.4,34.5,20,0.84,21.4,9.4,23.7,20,17.26,17.26,"%",57,4.7,23,18.75,5.1
"Dillon Brooks","SG/SFSGSF","MEM","@ GSW","30th",97.75,3700,4,33,15.9,0.58,13.9,6.6,27.6,30,16.41,16.41,"%",48,4.4,21,12.5,3.4
"OG Anunoby","SF/PFSFPF","TOR","@ CHA","25th",107.25,3700,4.7,21.4,12.7,0.63,13.4,5,20.1,22,11.88,11.88,"%",62,3.2,30,32.5,8.8
"Anthony Tolliver","SF/PFSFPF","DET","@ DAL","24th",98,3600,5.2,26.3,13.9,0.76,15.9,5.2,18.3,20,14.24,14.24,"%",57,4,30,25,6.9
"Torrey Craig","SG/SFSGSF","DEN","vs MIN","12th",108.5,3600,1.4,35.1,14.8,0.84,12.1,4,17.7,20,15.86,15.86,"%",35,4.4,37,20,5.6
"Kosta Koufos","C","SAC","@ BKN","28th",100.5,3600,1.5,29.7,16.2,0.92,13.9,4.1,17.7,14,13.57,13.57,"%",50,3.8,21,26,7.2
"Devin Harris","PG/SGPGSG","DAL","vs DET","11th",99,3600,6.1,31.9,16.7,0.9,23.8,6.8,18.6,21,17.14,17.14,"%",56,4.8,17,14.5,4
"Montrezl Harrell","PF/CPFC","LAC","vs PHX","30th",110.25,3600,8.5,30.7,12.9,1.15,22.4,4.3,11.2,15,18.02,18.02,"%",51,5,18,19.5,5.4
"Garrett Temple","PG/SGPGSG","SAC","@ BKN","27th",100.5,3600,0.9,28.7,16.4,0.68,16.4,7.2,24.2,19,12.86,12.86,"%",52,3.6,28,9.75,2.7
"Nik Stauskas","PG/SGPGSG","BKN","vs SAC","8th",105.5,3600,0,29.1,6.6,0.63,12.3,2.3,10.5,12,7.06,7.06,"%",0,2,3,3.5,1
"Norman Powell","SG/SFSGSF","TOR","@ CHA","20th",107.25,3600,5.4,34.1,16,0.8,20.6,7.2,19.9,22,17.69,17.69,"%",49,4.9,23,14,3.9
"Delon Wright","PG/SGPGSG","TOR","@ CHA","14th",107.25,3500,2.3,25.9,15.9,0.81,17.1,4.9,19.6,16,12.4,12.4,"%",58,3.5,18,15,4.3
"Gorgui Dieng","PF/CPFC","MIN","@ DEN","24th",107.5,3500,3.3,32.9,15.5,0.91,17.5,5,17,18,15.97,15.97,"%",46,4.6,20,21.75,6.2
"Andre Roberson","SG/SFSGSF","OKC","vs UTA","1st",102.75,3500,6.4,28.1,15.7,0.61,9.8,4.3,25.9,27,15.69,15.69,"%",60,4.5,23,16,4.6
"Tyler Zeller","C","BKN","vs SAC","29th",105.5,3500,6.7,28,16.9,0.92,20.2,6,18.4,16,15.81,15.81,"%",64,4.5,20,10.75,3.1
"Jerami Grant","SF/PFSFPF","OKC","vs UTA","6th",102.75,3500,5.5,30.2,16.7,0.8,15.9,5.7,21,22,16.06,16.06,"%",58,4.6,19,18.25,5.2
"Alex Abrines","SG/SFSGSF","OKC","vs UTA","1st",102.75,3500,0,22.2,9.9,0.58,14.3,4.4,17,13,7.61,7.61,"%",26,2.2,22,9,2.6
"David West","PF/CPFC","GSW","vs MEM","9th",106.75,3500,10.8,30.7,16.9,1.39,22.3,4.8,12.2,15,19.35,19.35,"%",66,5.5,18,19.5,5.6
"Thabo Sefolosha","SG/SFSGSF","UTA","@ OKC","10th",94.75,3500,3.2,31.6,17.5,0.86,15.8,5.8,20.3,18,15.39,15.39,"%",54,4.4,24,22.75,6.5
"DeAndre Bembry","SG/SFSGSF","ATL","vs IND","5th",104.25,3500,0,29.1,12.1,0.7,20.7,5.1,17.4,20,12.38,12.38,"%",31,3.5,18,12.5,3.6
"Malcolm Delaney","PG/SGPGSG","ATL","vs IND","13th",104.25,3500,0,12,11.7,0.65,17.5,4.6,18,0,0,0,"%",49,0,11,15,4.3
"Shabazz Napier","PG/SGPGSG","POR","vs SAS","6th",100.25,3500,0.9,34.2,14.6,0.88,18,5.6,16.5,19,15.16,15.16,"%",35,4.3,21,20.25,5.8
"Corey Brewer","SG/SFSGSF","LAL","@ HOU","21st",105.5,3400,1,19.8,6.9,0.62,13.4,2.4,11.1,11,9.06,9.06,"%",22,2.7,25,35.75,10.5
"Patrick McCaw","PG/SFPGSF","GSW","vs MEM","12th",106.75,3400,1.2,30.5,9.2,0.64,10.7,3,14.4,23,13.73,13.73,"%",9,4,29,24.5,7.2
"Zach Collins","PF/CPFC","POR","vs SAS","4th",100.25,3400,0.8,30.2,8.2,0.77,25.6,3.7,10.7,20,13.38,13.38,"%",0,3.9,13,6.5,1.9
"Bryn Forbes","PG/SGPGSG","SAS","@ POR","4th",98.25,3400,2.4,28.1,11.5,0.59,16.3,6.3,19.5,28,13.44,13.44,"%",36,4,19,6.5,1.9
"Davis Bertans","SF/PFSFPF","SAS","@ POR","15th",98.25,3400,0,31.6,10,0.94,21.6,3.8,10.6,15,13.32,13.32,"%",9,3.9,4,2.75,0.8
"Jonathan Isaac","SF/PFSFPF","ORL","@ CHI","20th",102.75,3400,7.1,27.9,15.3,0.8,14.7,5,19.1,20,16,16,"%",61,4.7,13,5.5,1.6
"Dragan Bender","SF/PFSFPF","PHX","@ LAC","15th",105.25,3400,5.9,29.6,12.9,0.64,12.4,4.9,20.3,27,16.01,16.01,"%",48,4.7,22,10,2.9
"Brandon Paul","SG","SAS","@ POR","9th",98.25,3400,0,23.1,8.5,0.69,13.9,2.9,12.4,7,4.82,4.82,"%",0,1.4,0,0,NA
"Jarell Martin","PF/CPFC","MEM","@ GSW","12th",97.75,3400,0,21.9,11,0.69,17,4.3,16,12,7.97,7.97,"%",37,2.3,19,18,5.3
"Daniel Theis","PF/CPFC","BOS","vs MIA","1st",104.5,3400,0,25.5,12.1,0.98,19.9,3.4,12.3,13,10.91,10.91,"%",40,3.2,19,12,3.5
"Jarrett Allen","PF/CPFC","BKN","vs SAC","29th",105.5,3400,7,28.5,13.2,0.84,13.5,3.9,15.8,18,16.2,16.2,"%",54,4.8,19,12,3.5
"Kevon Looney","SF/PFSFPF","GSW","vs MEM","9th",106.75,3400,4.5,26.9,8.7,0.9,13.5,2.2,9.7,15,14.12,14.12,"%",26,4.2,13,9.75,2.9
"Isaiah Taylor","PG","ATL","vs IND","13th",104.25,3300,0,22.7,11.6,0.77,18.5,4.5,15,13,8.83,8.83,"%",40,2.7,16,14.5,4.4
"Boban Marjanovic","C","DET","@ DAL","12th",98,3300,0,13.5,10.3,1.41,37.5,3.8,7.3,0,0,0,"%",34,0,14,7.75,2.3
"Quincy Acy","PF/CPFC","BKN","vs SAC","25th",105.5,3300,5.1,23.2,12.1,0.71,16.8,4.8,17,18,12.87,12.87,"%",57,3.9,18,12.75,3.9
"Pat Connaughton","SG/SFSGSF","POR","vs SAS","2nd",100.25,3300,0,23.1,11.3,0.6,14.2,4.9,18.7,15,8.61,8.61,"%",36,2.6,13,5.25,1.6
"Meyers Leonard","PF/CPFC","POR","vs SAS","4th",100.25,3300,0,16.6,11.1,0.99,19.6,4.1,11.2,0,0,0,"%",25,0,3,4.75,1.4
"C.J. Williams","SG","LAC","vs PHX","25th",110.25,3300,5.7,23,9.2,0.61,14.6,4.1,15,20,13.1,13.1,"%",46,4,28,16.75,5.1
"Skal Labissiere","PF/CPFC","SAC","@ BKN","16th",100.5,3300,0,21.4,14.5,0.94,24.5,6.5,15.5,7,6.55,6.55,"%",49,2,12,14.5,4.4
"Paul Zipser","SG/SFSGSF","CHI","vs ORL","29th",107.75,3300,0,20.1,10.2,0.64,16.9,4.9,16,9,6.73,6.73,"%",35,2,19,8.5,2.6
"Tyus Jones","PG/SGPGSG","MIN","@ DEN","26th",107.5,3300,0,32.9,12.5,0.77,10.9,3.1,16.3,14,12.81,12.81,"%",20,3.9,15,9.25,2.8
"Michael Carter-Williams","PG","CHA","vs TOR","7th",105.25,3300,0.8,25.2,13.4,0.82,17.8,4.5,16.4,15,11.25,11.25,"%",48,3.4,15,13,3.9
"Dwight Powell","PF/CPFC","DAL","vs DET","14th",99,3300,6.3,32.8,16.1,0.93,17,4.7,17.3,18,17.69,17.69,"%",53,5.4,20,9.75,3
"Nene Hilario","C","HOU","vs LAL","18th",120.5,3300,11.7,36.1,14.2,1.01,19.8,4.3,14,20,22.12,22.12,"%",51,6.7,25,14.5,4.4
"Miles Plumlee","C","ATL","vs IND","17th",104.25,3300,4.6,27.5,10.6,0.66,12.8,3.2,16,22,14.41,14.41,"%",38,4.4,21,23.25,7
"Shelvin Mack","PG/SGPGSG","ORL","@ CHI","25th",102.75,3300,4.9,31.2,14,0.8,13.1,4.2,17.6,20,16.18,16.18,"%",46,4.9,17,12.25,3.7
"Shane Larkin","PG","BOS","vs MIA","10th",104.5,3300,0,21.9,8.1,0.76,16.7,3.5,10.7,9,6.62,6.62,"%",6,2,8,0.75,0.2
"Patrick Patterson","PF/CPFC","OKC","vs UTA","10th",102.75,3300,0,19.9,8,0.57,10.8,2.8,14,14,8.44,8.44,"%",28,2.6,15,9.25,2.8
"Ben McLemore","SG/SFSGSF","MEM","@ GSW","17th",97.75,3300,1.1,24.4,12.3,0.69,20,6.2,17.7,15,11.09,11.09,"%",46,3.4,22,15.75,4.8
"Nick Young","SG","GSW","vs MEM","13th",106.75,3300,0,29.4,10.8,0.84,21.9,5.2,12.8,17,12.53,12.53,"%",22,3.8,23,18.5,5.6
"James Ennis","SG/SFSGSF","MEM","@ GSW","30th",97.75,3300,4.4,31.6,14.3,0.6,12.2,4.8,24,24,16.06,16.06,"%",46,4.9,16,9.75,3
"Malik Beasley","SG","DEN","vs MIN","5th",108.5,3200,0,19.2,7.4,0.69,18.3,3.6,10.8,11,8.12,8.12,"%",25,2.5,5,4.5,1.4
"Wesley Iwundu","SG/SFSGSF","ORL","@ CHI","20th",102.75,3200,4.6,22,5.9,0.54,19.9,3.3,10.9,21,12.08,12.08,"%",16,3.8,19,7.25,2.3
"JaVale McGee","C","GSW","vs MEM","5th",106.75,3200,1.1,20.1,8.8,1.16,18.9,2.7,7.6,10,9.25,9.25,"%",38,2.9,12,13,4.1
"Semi Ojeleye","SG/SFSGSF","BOS","vs MIA","23rd",104.5,3200,1.1,16.9,6.3,0.46,9.8,2.5,13.7,15,7.89,7.89,"%",28,2.5,10,1.25,0.4
"Quinn Cook","PG","GSW","vs MEM","9th",106.75,3100,0,17.7,7.5,0.68,12.2,2.9,11,9,5.79,5.79,"%",21,1.9,18,13,4.2
"Bismack Biyombo","PF/CPFC","ORL","@ CHI","19th",102.75,3100,2.2,20.6,12.2,0.83,14.4,3.2,14.7,12,10.08,10.08,"%",57,3.3,10,3,1
"Luke Babbitt","SF/PFSFPF","ATL","vs IND","5th",104.25,3100,0,25.7,13.2,0.72,15,5.5,18.4,14,9.25,9.25,"%",38,3,9,1.5,0.5
"Vince Carter","SG/SFSGSF","SAC","@ BKN","27th",100.5,3100,0,15.8,8.6,0.64,14.2,3.5,13.4,7,4.72,4.72,"%",35,1.5,0,0,NA
"Raymond Felton","PG/SGPGSG","OKC","vs UTA","8th",102.75,3100,4.4,24.3,13.9,0.85,19.5,6.5,16.3,16,12.91,12.91,"%",59,4.2,16,17.75,5.7
"Zhou Qi","PF/CPFC","HOU","vs LAL","16th",120.5,3000,0,10.8,4.2,0.84,19.5,1.8,5,4,3.31,3.31,"%",11,1.1,0,0,NA
"Udonis Haslem","PF/CPFC","MIA","@ BOS","8th",95.5,3000,0.3,2.9,1.9,0.76,3.9,0.3,2.5,2,1.42,1.42,"%",62,0.5,7,3.25,1.1
"Salah Mejri","C","DAL","vs DET","25th",99,3000,0,25.9,11.5,1.06,12.1,1.8,10.8,8,8.11,8.11,"%",23,2.7,15,20.75,6.9
"Tarik Black","PF/CPFC","HOU","vs LAL","18th",120.5,3000,0,27.2,7.4,0.96,17.9,2.1,7.7,12,11.32,11.32,"%",0,3.8,4,6,2
"Justin Jackson","SG/SFSGSF","SAC","@ BKN","14th",100.5,3000,0.8,20.8,9.8,0.54,16.4,6,18.1,17,9.37,9.37,"%",42,3.1,20,9.25,3.1
"Henry Ellenson","PF/CPFC","DET","@ DAL","24th",98,3000,0,15.1,9.3,1.02,26.4,4.6,9.1,0,0,0,"%",19,0,3,3.25,1.1
"Nick Collison","PF/CPFC","OKC","vs UTA","10th",102.75,3000,0,4.8,4.3,0.86,13.7,0.8,5,0,0,0,"%",44,0,5,3.25,1.1
"Cristiano Da Silva Felicio","PF/CPFC","CHI","vs ORL","22nd",107.75,3000,0,8.8,9.1,0.65,13,2.8,14.1,0,0,0,"%",52,0,6,3.5,1.2
"Kyle Collinsworth","SG","DAL","vs DET","4th",99,3000,0,0,NA,NA,NA,NA,NA,0,0,0,"%",0,0,12,6.25,2.1
"Malachi Richardson","SG/SFSGSF","SAC","@ BKN","27th",100.5,3000,1.6,16.5,6.9,0.61,15.6,3.4,11.4,12,7.99,7.99,"%",38,2.7,0,0,NA
"Josh Huestis","SF/PFSFPF","OKC","vs UTA","6th",102.75,3000,0,14,6.7,0.59,15.3,2.6,11.4,10,5.66,5.66,"%",38,1.9,17,2.75,0.9
"Terrance Ferguson","SG/SFSGSF","OKC","vs UTA","1st",102.75,3000,0,5.8,2.4,0.37,12.2,1.5,6.5,0,0,0,"%",0,0,5,3.5,1.2
"Willie Reed","C","LAC","vs PHX","30th",110.25,3000,0,20.7,9.9,1.04,18.8,2.9,9.5,6,6.23,6.23,"%",27,2.1,16,16.5,5.5
"Julyan Stone","PG/SGPGSG","CHA","vs TOR","13th",105.25,3000,0,11.4,7.7,1.22,17.5,1.3,6.3,0,0,0,"%",26,0,4,6,2
"Dakari Johnson","C","OKC","vs UTA","2nd",102.75,3000,0,11.5,6.9,0.87,18.6,2.1,7.9,0,0,0,"%",17,0,3,5.75,1.9
"Mangok Mathiang","PF/CPFC","CHA","vs TOR","10th",105.25,3000,0,1.2,1.9,0.76,15.2,1,2.5,0,0,0,"%",0,0,4,3.75,1.3
"Jamel Artis","SG/SFSGSF","ORL","@ CHI","28th",102.75,3000,0,0,1.3,0.26,0,0,5,0,0,0,"%",0,0,15,10.75,3.6
"Joffrey Lauvergne","PF/CPFC","SAS","@ POR","2nd",98.25,3000,0,17.8,9.8,0.94,19.3,3.6,10.4,6,4.86,4.86,"%",34,1.6,6,9.25,3.1
"Dwayne Bacon","SG/SFSGSF","CHA","vs TOR","13th",105.25,3000,0,14.7,9.3,0.58,12.6,4,15.9,0,0,0,"%",21,0,5,8.25,2.8
"Andrew Bogut","C","LAL","@ HOU","1st",105.5,3000,0,19.8,7.5,0.99,9.4,1,7.6,8,7.28,7.28,"%",16,2.4,17,6.75,2.3
"Malik Monk","PG/SGPGSG","CHA","vs TOR","7th",105.25,3000,0,22.9,11,0.75,21.5,6.6,14.6,6,3.66,3.66,"%",13,1.2,14,16.5,5.5
"Derrick Walton Jr.","PG/SGPGSG","MIA","@ BOS","18th",95.5,3000,3.9,8.5,2.7,0.79,13.8,1,3.4,7,5.83,5.83,"%",51,1.9,6,2.75,0.9
"Marcus Georges-Hunt","SG/SFSGSF","MIN","@ DEN","7th",107.5,3000,0,10,2.5,0.52,15.7,1,4.8,8,3.8,3.8,"%",0,1.3,5,0,NA
"Ivan Rabb","PF/CPFC","MEM","@ GSW","12th",97.75,3000,0,1.5,0.8,0.8,24.5,0.5,1,0,0,0,"%",0,0,2,3.25,1.1
"Johnny O'Bryant","PF/CPFC","CHA","vs TOR","5th",105.25,3000,4.3,30.7,9.5,1.1,31.2,4.7,8.6,16,15.6,15.6,"%",21,5.2,21,19.5,6.5
"Eric Moreland","PF/CPFC","DET","@ DAL","24th",98,3000,0.2,25.1,9.1,0.87,7.5,1.2,10.5,11,10.87,10.87,"%",22,3.6,10,2.75,0.9
"Adreian Payne","PF","ORL","@ CHI","13th",102.75,3000,0,0,NA,NA,NA,NA,NA,0,0,0,"%",0,0,6,14.5,4.8
"Guerschon Yabusele","PF/CPFC","BOS","vs MIA","1st",104.5,3000,0,5,4.9,1.04,24,1.7,4.7,0,0,0,"%",49,0,7,10.75,3.6
"Josh Hart","PG/SGPGSG","LAL","@ HOU","22nd",105.5,3000,8.6,34.8,9.2,0.63,10.1,3,14.5,32,19.81,19.81,"%",19,6.6,27,27.5,9.2
"Joseph Young","PG/SGPGSG","IND","@ ATL","24th",109.25,3000,0,6,4.4,0.77,32.3,2.6,5.7,0,0,0,"%",32,0,12,3.5,1.2
"Deyonta Davis","PF/CPFC","MEM","@ GSW","6th",97.75,3000,1.2,23.1,10.6,0.92,15.5,2.9,11.5,13,10.61,10.61,"%",41,3.5,7,3.5,1.2
"Tony Bradley","C","UTA","@ OKC","11th",94.75,3000,0,2.4,2.2,0.85,29.3,1.3,2.6,0,0,0,"%",46,0,6,7.75,2.6
"Royce O'Neale","SF","UTA","@ OKC","10th",94.75,3000,0,27.8,8,0.78,18.2,2.7,10.3,13,10.28,10.28,"%",0,3.4,15,12.25,4.1
"Sindarius Thornwell","SG","LAC","vs PHX","25th",110.25,3000,0,18.5,8.6,0.55,14.6,3.3,15.7,14,7.29,7.29,"%",35,2.4,1,0,NA
"Brice Johnson","PF/CPFC","LAC","vs PHX","30th",110.25,3000,1.1,12.3,6,1.36,18.3,1.4,4.4,4,5.87,5.87,"%",47,2,NA,NA,NA
"Danuel House","SG/SFSGSF","PHX","@ LAC","3rd",105.25,3000,0,9.6,6.3,0.45,13.1,2.8,14,10,4.07,4.07,"%",56,1.4,7,8.75,2.9
