"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG","Isaiah Taylor",3300,"IND@ATL 12/20/2017 07:30PM ET",11.565,"ATL","IND",0,8.6,14.5
"PG","Shane Larkin",3300,"MIA@BOS 12/20/2017 07:30PM ET",8.135,"BOS","MIA",0,7.8,0.75
"PF/C","Quincy Acy",3300,"SAC@BKN 12/20/2017 07:30PM ET",12.063,"BKN","SAC",0,13.3,12.75
"SF/PF","Jakarr Sampson",3300,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"SAC","BKN",0,0,0
"PF/C","Skal Labissiere",3300,"SAC@BKN 12/20/2017 07:30PM ET",14.796,"SAC","BKN",0,0,14.5
"PF/C","Al Jefferson",3200,"IND@ATL 12/20/2017 07:30PM ET",15.5,"IND","ATL",0,0,0
"SG/SF","Semi Ojeleye",3200,"MIA@BOS 12/20/2017 07:30PM ET",6.32,"BOS","MIA",0,7.2,1.25
"PG/SG","Isaiah Whitehead",3200,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"BKN","SAC",0,0,0
"SF/PF","Luke Babbitt",3100,"IND@ATL 12/20/2017 07:30PM ET",12.796,"ATL","IND",0,8.6,1.5
"SG/SF","Vince Carter",3100,"SAC@BKN 12/20/2017 07:30PM ET",8.263,"SAC","BKN",0,0,0
"SG/SF","Damien Wilkins",3000,"IND@ATL 12/20/2017 07:30PM ET",2.893,"IND","ATL",0,0,0
"C","Mike Muscala",3000,"IND@ATL 12/20/2017 07:30PM ET",16.333,"ATL","IND",0,0,0
"PG/SG","Joe Young",3000,"IND@ATL 12/20/2017 07:30PM ET",4.141,"IND","ATL",0,0,0
"SF","Alex Poythress",3000,"IND@ATL 12/20/2017 07:30PM ET",1.929,"IND","ATL",0,0,0
"PG","Josh Magette",3000,"IND@ATL 12/20/2017 07:30PM ET",6.188,"ATL","IND",0,0,0
"PG","Edmond Sumner",3000,"IND@ATL 12/20/2017 07:30PM ET",0,"IND","ATL",0,0,0
"PG/SG","Tyler Dorsey",3000,"IND@ATL 12/20/2017 07:30PM ET",4.05,"ATL","IND",0,0,0
"PF/C","Ike Anigbogu",3000,"IND@ATL 12/20/2017 07:30PM ET",2,"IND","ATL",0,0,0
"SF/PF","TJ Leaf",3000,"IND@ATL 12/20/2017 07:30PM ET",6.39,"IND","ATL",0,0,0
"PF/C","Udonis Haslem",3000,"MIA@BOS 12/20/2017 07:30PM ET",1.875,"MIA","BOS",0,0,3.25
"SG/SF","Gordon Hayward",3000,"MIA@BOS 12/20/2017 07:30PM ET",3.25,"BOS","MIA",0,0,0
"SG/SF","Rodney McGruder",3000,"MIA@BOS 12/20/2017 07:30PM ET",0,"MIA","BOS",0,0,0
"SF/PF","Okaro White",3000,"MIA@BOS 12/20/2017 07:30PM ET",8.45,"MIA","BOS",0,0,0
"PF","Abdel Nader",3000,"MIA@BOS 12/20/2017 07:30PM ET",3.911,"BOS","MIA",0,0,0
"C","AJ Hammons",3000,"MIA@BOS 12/20/2017 07:30PM ET",0,"MIA","BOS",0,0,0
"SG","Matt Williams",3000,"MIA@BOS 12/20/2017 07:30PM ET",0,"MIA","BOS",0,0,0
"PG/SG","Derrick Walton",3000,"MIA@BOS 12/20/2017 07:30PM ET",1.929,"MIA","BOS",0,0,2.75
"SG","Jabari Bird",3000,"MIA@BOS 12/20/2017 07:30PM ET",3.667,"BOS","MIA",0,0,0
"SG","Kadeem Allen",3000,"MIA@BOS 12/20/2017 07:30PM ET",3,"BOS","MIA",0,0,0
"PF/C","Guerschon Yabusele",3000,"MIA@BOS 12/20/2017 07:30PM ET",4.85,"BOS","MIA",0,0,10.75
"PG/SG","Jeremy Lin",3000,"SAC@BKN 12/20/2017 07:30PM ET",23,"BKN","SAC",0,0,0
"PF","Jack Cooley",3000,"SAC@BKN 12/20/2017 07:30PM ET",4.75,"SAC","BKN",0,0,0
"C","Timofey Mozgov",3000,"SAC@BKN 12/20/2017 07:30PM ET",10.476,"BKN","SAC",0,0,0
"PG","Milton Doyle",3000,"SAC@BKN 12/20/2017 07:30PM ET",0,"BKN","SAC",0,0,0
"SG/SF","Justin Jackson",3000,"SAC@BKN 12/20/2017 07:30PM ET",9.7,"SAC","BKN",0,9.1,9.25
"PG","Jacob Wiley",3000,"SAC@BKN 12/20/2017 07:30PM ET",4.65,"BKN","SAC",0,0,0
"SG/SF","Malachi Richardson",3000,"SAC@BKN 12/20/2017 07:30PM ET",6.654,"SAC","BKN",0,0,0
"C","Georgios Papagiannis",3000,"SAC@BKN 12/20/2017 07:30PM ET",7.167,"SAC","BKN",0,0,0
"PF/C","Harry Giles",3000,"SAC@BKN 12/20/2017 07:30PM ET",0,"SAC","BKN",0,0,0
"SG","Yakuba Ouattara",3000,"SAC@BKN 12/20/2017 07:30PM ET",0,"BKN","SAC",0,0,0
