"Joel Embiid_PHI","Ben Simmons_PHI","Karl-Anthony Towns_MIN","Jimmy Butler_MIN","Devin Booker_PHO","Zach Randolph_SAC","TJ Warren_PHO","Jeff Teague_MIN","Robert Covington_PHI","Taj Gibson_MIN","Andrew Wiggins_MIN","Dario Saric_PHI","Buddy Hield_SAC","JJ Redick_PHI","Willie Cauley-Stein_SAC","Greg Monroe_PHO","De'Aaron Fox_SAC","Tyson Chandler_PHO","Alex Len_PHO","Mike James_PHO","Josh Jackson_PHO","Trevor Booker_PHI","TJ McConnell_PHI","Tyler Ulis_PHO","Marquese Chriss_PHO","George Hill_SAC","Troy Daniels_PHO","Frank Mason III_SAC","Bogdan Bogdanovic_SAC","Gorgui Dieng_MIN","Richaun Holmes_PHI","Markelle Fultz_PHI","Jared Dudley_PHO","Garrett Temple_SAC","Jakarr Sampson_SAC","Jamal Crawford_MIN","Amir Johnson_PHI","Jerryd Bayless_PHI","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Tyus Jones_MIN","Skal Labissiere_SAC","Dragan Bender_PHO","Kosta Koufos_SAC","Justin Jackson_SAC","Alan Williams_PHO","Timothe Luwawu-Cabarrot_PHI","Vince Carter_SAC","Jack Cooley_SAC","Brandon Knight_PHO","Danuel House_PHO","Davon Reed_PHO","Alec Peters_PHO","Malachi Richardson_SAC","Georgios Papagiannis_SAC","Harry Giles_SAC","Aaron Brooks_MIN","Cole Aldrich_MIN","Jacob Pullen_PHI","Anthony Brown_MIN","James Michael McAdoo_PHI","Marcus Georges-Hunt_MIN","Justin Anderson_PHI","Justin Patton_MIN","Furkan Korkmaz_PHI"
0,0,0,0,0,68.25625,0,0,0,0,0,0,-30.459375,0,2.39375,0,44.725,0,0,0,0,0,0,0,0,23.890625,0,-27.2875,44.3875,0,0,0,0,19.009375,0,0,0,0,0,0,0,-11.165625,0,-6.465625,0,0,0,7.240625,0,0,0,0,0,-8.45,0,0,0,0,0,0,0,0,0,0,0
0,0,-103.20625,-68.8375,0,0,0,-89.146875,0,-4.08125,114.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.08125,0,0,0,0,0,3.7875,0,0,0,-2.04375,102.81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.846875,0,0,0,0,0,0,0,0
-215.958333333333,-35.5,0,0,0,0,0,0,-67.671875,0,0,30.3229166666667,0,31.0625,0,0,0,0,0,0,0,0,-11.09375,0,0,0,0,0,0,0,78.765625,0,0,0,0,0,44.375,11.09375,0,0,0,0,0,0,0,0,31.4322916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-89.359375,0,-145.7,0,0,0,0,0,0,0,0,161.10625,0,-123.81875,-1.459375,14.759375,57.23125,0,0,-89.109375,-17.43125,0,28.0875,0,0,0,0,0,113.51875,0,0,0,0,0,0,0,0,0,-40.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-19.159375,0,0,0,0,0,0,-65.840625,0,74.771875,0,36.215625,0,0,0,0,0,0,0,0,-14.453125,0,-23.04375,19.009375,0,0,0,0,36.70625,0,0,0,0,0,0,0,33.6375,0,-25.025,0,0,0,7.559375,0,0,0,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25.525,-18.05,0,0,0,32.70625,0,7.80625,21.06875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7875,0,0,0,0,0,20.325,0,0,0,-0.43125,-0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81875,0,0,0,0,0,0,0,0
-165.583333333333,-103.75,0,0,0,0,0,0,28.375,0,0,3.79166666666667,0,38.5,0,0,0,0,0,0,0,0,-12.5,0,0,0,0,0,0,0,44.375,0,0,0,0,0,73.5,5.125,0,0,0,0,0,0,0,0,3.91666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10.4166666666667,30,0,0,0,0,0,0,-20.03125,0,0,21.25,0,-20.3541666666667,0,0,0,0,0,0,0,0,10.3125,0,0,0,0,0,0,0,11.09375,0,0,0,0,0,5.125,13.3541666666667,0,0,0,0,0,0,0,0,-2.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
