"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Seth Curry",4100,"SA@DAL 12/12/2017 08:30PM ET",0,"DAL","SA",0,0,0
"PG/SG","George Hill",4000,"PHO@SAC 12/12/2017 10:00PM ET",18.5,"SAC","PHO",18.15,18.5,36.75
"PG","Tony Parker",4000,"SA@DAL 12/12/2017 08:30PM ET",18.958,"SA","DAL",20.17,18.8,18.25
"SG/SF","JR Smith",3900,"ATL@CLE 12/12/2017 07:00PM ET",17.88,"CLE","ATL",18.32,20.6,22.25
"PF/C","Kyle O'Quinn",3900,"LAL@NY 12/12/2017 07:00PM ET",18.856,"NY","LAL",0,0,0
"SG","Troy Daniels",3900,"PHO@SAC 12/12/2017 10:00PM ET",9.714,"PHO","SAC",16.33,17.4,16.5
"PG/SG","Frank Mason III",3900,"PHO@SAC 12/12/2017 10:00PM ET",15.711,"SAC","PHO",0,20.3,20.5
"PG","Dejounte Murray",3900,"SA@DAL 12/12/2017 08:30PM ET",17.817,"SA","DAL",0,0,0
"PG","Ish Smith",3800,"DEN@DET 12/12/2017 07:00PM ET",18.49,"DET","DEN",17.56,18.6,0
"PG/SG","Tomas Satoransky",3800,"WAS@BKN 12/12/2017 07:30PM ET",13.353,"WAS","BKN",0,20.6,18.5
"PF/C","Tristan Thompson",3800,"ATL@CLE 12/12/2017 07:00PM ET",13.781,"CLE","ATL",15.81,14.6,0
"PF","Tyler Cavanaugh",3800,"ATL@CLE 12/12/2017 07:00PM ET",11.353,"ATL","CLE",18.76,20.5,25.25
"SG/SF","Bogdan Bogdanovic",3800,"PHO@SAC 12/12/2017 10:00PM ET",18.326,"SAC","PHO",17.39,19.5,24.75
"PG/SG","Yogi Ferrell",3800,"SA@DAL 12/12/2017 08:30PM ET",17.722,"DAL","SA",23.38,20.8,32
"PG/SG","Markelle Fultz",3800,"PHI@MIN 12/12/2017 09:30PM ET",12.438,"PHI","MIN",0,0,0
"PF/C","Gorgui Dieng",3800,"PHI@MIN 12/12/2017 09:30PM ET",15.802,"MIN","PHI",20.31,19.4,14.75
"PF/C","Richaun Holmes",3800,"PHI@MIN 12/12/2017 09:30PM ET",14.417,"PHI","MIN",5.74,17,34.75
"SG/SF","Stanley Johnson",3700,"DEN@DET 12/12/2017 07:00PM ET",17.098,"DET","DEN",15.58,12.3,2.75
"PG","Tim Frazier",3700,"WAS@BKN 12/12/2017 07:30PM ET",14.231,"WAS","BKN",16.53,16.8,12.25
"SG/SF","Joe Harris",3700,"WAS@BKN 12/12/2017 07:30PM ET",18.141,"BKN","WAS",19.25,15.8,12
"SG/SF","Kyle Korver",3700,"ATL@CLE 12/12/2017 07:00PM ET",17.139,"CLE","ATL",19.53,18.9,23.75
"SF/PF","Luke Babbitt",3700,"ATL@CLE 12/12/2017 07:00PM ET",13.598,"ATL","CLE",10.94,11.7,15.25
"SG/SF","DeAndre' Bembry",3700,"ATL@CLE 12/12/2017 07:00PM ET",12.896,"ATL","CLE",0,17,0
"SF/PF","Jae Crowder",3700,"ATL@CLE 12/12/2017 07:00PM ET",15.87,"CLE","ATL",15.26,17.7,17.75
"SF/PF","Michael Beasley",3700,"LAL@NY 12/12/2017 07:00PM ET",13.85,"NY","LAL",0,0,0
"SF/PF","Doug McDermott",3700,"LAL@NY 12/12/2017 07:00PM ET",15.423,"NY","LAL",0,0,0
"PG/SG","Garrett Temple",3700,"PHO@SAC 12/12/2017 10:00PM ET",16.21,"SAC","PHO",12.48,13.6,4
"SF/PF","Jakarr Sampson",3700,"PHO@SAC 12/12/2017 10:00PM ET",13.75,"SAC","PHO",0,0,0
"PF","Jared Dudley",3700,"PHO@SAC 12/12/2017 10:00PM ET",12.354,"PHO","SAC",13.35,12.3,0
"PF/C","Dwight Powell",3700,"SA@DAL 12/12/2017 08:30PM ET",15.875,"DAL","SA",16.25,15.7,30
"SG/SF","Manu Ginobili",3700,"SA@DAL 12/12/2017 08:30PM ET",16.182,"SA","DAL",14.81,14.9,10.75
"SG","Malik Beasley",3600,"DEN@DET 12/12/2017 07:00PM ET",7.398,"DEN","DET",11.84,12.1,12.5
"SF/PF","Anthony Tolliver",3600,"DEN@DET 12/12/2017 07:00PM ET",13.696,"DET","DEN",13.94,15.5,9.75
"PG/SG","Nik Stauskas",3600,"WAS@BKN 12/12/2017 07:30PM ET",2.125,"BKN","WAS",0.38,0,0
"PG","Derrick Rose",3600,"ATL@CLE 12/12/2017 07:00PM ET",19.786,"CLE","ATL",0,0,0
"PG/SG","Frank Ntilikina",3600,"LAL@NY 12/12/2017 07:00PM ET",14.978,"NY","LAL",0,0,0
"SG","Brandon Paul",3600,"SA@DAL 12/12/2017 08:30PM ET",8.79,"SA","DAL",0,0,0
"PG/SG","Bryn Forbes",3600,"SA@DAL 12/12/2017 08:30PM ET",11.048,"SA","DAL",9.43,9.8,13.75
"PF","Maxi Kleber",3600,"SA@DAL 12/12/2017 08:30PM ET",11.905,"DAL","SA",16.88,18.1,10.5
"PF/C","Amir Johnson",3600,"PHI@MIN 12/12/2017 09:30PM ET",15.896,"PHI","MIN",8.34,11.1,3.5
"SG","Jamal Crawford",3600,"PHI@MIN 12/12/2017 09:30PM ET",14.981,"MIN","PHI",14.72,14.9,12
"SF/PF","Juancho Hernangomez",3500,"DEN@DET 12/12/2017 07:00PM ET",9.481,"DEN","DET",0,0,0
"C","Tyler Zeller",3500,"WAS@BKN 12/12/2017 07:30PM ET",16.662,"BKN","WAS",18.89,16.8,24.5
"C","Miles Plumlee",3500,"ATL@CLE 12/12/2017 07:00PM ET",11.107,"ATL","CLE",12.81,10,6
"PG/SG","Iman Shumpert",3500,"ATL@CLE 12/12/2017 07:00PM ET",12.192,"CLE","ATL",0,0,0
"C","Mike Muscala",3500,"ATL@CLE 12/12/2017 07:00PM ET",16.333,"ATL","CLE",0,0,0
"PF/C","Guillermo Hernangomez",3500,"LAL@NY 12/12/2017 07:00PM ET",12.339,"NY","LAL",0,0,0
"PG/SG","Devin Harris",3500,"SA@DAL 12/12/2017 08:30PM ET",16.095,"DAL","SA",17.85,17.1,19.25
"SF/PF","Davis Bertans",3500,"SA@DAL 12/12/2017 08:30PM ET",8.625,"SA","DAL",7.95,9.1,0
"PG/SG","Tyus Jones",3500,"PHI@MIN 12/12/2017 09:30PM ET",12.565,"MIN","PHI",10.17,10.1,13.25
"PG/SG","Jerryd Bayless",3500,"PHI@MIN 12/12/2017 09:30PM ET",16.55,"PHI","MIN",9.66,15.2,9
"SG/SF","Shabazz Muhammad",3500,"PHI@MIN 12/12/2017 09:30PM ET",7.25,"MIN","PHI",0,0,0
"SF/PF","Nemanja Bjelica",3500,"PHI@MIN 12/12/2017 09:30PM ET",13.514,"MIN","PHI",0,0,0
"PF/C","Jarrett Allen",3400,"WAS@BKN 12/12/2017 07:30PM ET",13.441,"BKN","WAS",17.55,15.6,17.5
"PG/SG","Malcolm Delaney",3400,"ATL@CLE 12/12/2017 07:00PM ET",11.763,"ATL","CLE",0,0,3.5
"SG/SF","Damyean Dotson",3400,"LAL@NY 12/12/2017 07:00PM ET",5.765,"NY","LAL",0,0,0
"C","Ivica Zubac",3400,"LAL@NY 12/12/2017 07:00PM ET",1.333,"LAL","NY",0,0,0
"PF/C","Skal Labissiere",3400,"PHO@SAC 12/12/2017 10:00PM ET",15.469,"SAC","PHO",12.27,13.2,13.5
"SF/PF","Dragan Bender",3400,"PHO@SAC 12/12/2017 10:00PM ET",12.268,"PHO","SAC",6.84,0,18.75
"SG","Jodie Meeks",3300,"WAS@BKN 12/12/2017 07:30PM ET",10.606,"WAS","BKN",11.45,9.2,25.5
"PF/C","Channing Frye",3300,"ATL@CLE 12/12/2017 07:00PM ET",9.68,"CLE","ATL",11.02,11.6,12.75
"C","Joakim Noah",3300,"LAL@NY 12/12/2017 07:00PM ET",9.625,"NY","LAL",0,0,0
"PG/SG","Ron Baker",3300,"LAL@NY 12/12/2017 07:00PM ET",10.969,"NY","LAL",0,0,0
"SG/SF","Justin Jackson",3300,"PHO@SAC 12/12/2017 10:00PM ET",9.986,"SAC","PHO",0,0,0
"C","Kosta Koufos",3300,"PHO@SAC 12/12/2017 10:00PM ET",15.433,"SAC","PHO",15.07,13,22.5
"SG","Luke Kennard",3200,"DEN@DET 12/12/2017 07:00PM ET",11.226,"DET","DEN",11.52,11.6,3.5
"PF/C","Jason Smith",3200,"WAS@BKN 12/12/2017 07:30PM ET",5.778,"WAS","BKN",0,12.1,18.75
"C","Ian Mahinmi",3200,"WAS@BKN 12/12/2017 07:30PM ET",10.798,"WAS","BKN",0,0,0
"PG/SG","Isaiah Whitehead",3200,"WAS@BKN 12/12/2017 07:30PM ET",12.722,"BKN","WAS",0,0,0
"PG","Isaiah Taylor",3200,"ATL@CLE 12/12/2017 07:00PM ET",11.921,"ATL","CLE",9.55,10.7,17.5
"SF/PF","Lance Thomas",3200,"LAL@NY 12/12/2017 07:00PM ET",8.598,"NY","LAL",0,0,0
"C","Alan Williams",3200,"PHO@SAC 12/12/2017 10:00PM ET",0,"PHO","SAC",0,0,0
"SG/SF","Timothe Luwawu-Cabarrot",3200,"PHI@MIN 12/12/2017 09:30PM ET",10.83,"PHI","MIN",8.01,10.1,5.75
"PG/SG","Langston Galloway",3100,"DEN@DET 12/12/2017 07:00PM ET",10.458,"DET","DEN",8.13,0,23
"PF/C","Quincy Acy",3100,"WAS@BKN 12/12/2017 07:30PM ET",12.063,"BKN","WAS",0,0,5
"PG","Ramon Sessions",3100,"LAL@NY 12/12/2017 07:00PM ET",11.4,"NY","LAL",0,0,0
"C","Salah Mejri",3100,"SA@DAL 12/12/2017 08:30PM ET",12.102,"DAL","SA",10.1,9.3,5.75
"SG/SF","Reggie Bullock",3000,"DEN@DET 12/12/2017 07:00PM ET",6.875,"DET","DEN",0,14.4,11.5
"PG","Dwight Buycks",3000,"DEN@DET 12/12/2017 07:00PM ET",0,"DET","DEN",0,0,0
"C","Boban Marjanovic",3000,"DEN@DET 12/12/2017 07:00PM ET",8.429,"DET","DEN",5.38,0,23.25
"PF/C","Eric Moreland",3000,"DEN@DET 12/12/2017 07:00PM ET",7.943,"DET","DEN",2.95,0,2.5
"PF/C","Jon Leuer",3000,"DEN@DET 12/12/2017 07:00PM ET",11.813,"DET","DEN",0,0,0
"SF","Luis Montero",3000,"DEN@DET 12/12/2017 07:00PM ET",0,"DET","DEN",0,0,0
"PF/C","Henry Ellenson",3000,"DEN@DET 12/12/2017 07:00PM ET",10.094,"DET","DEN",0,0,10.5
"PF","Tyler Lydon",3000,"DEN@DET 12/12/2017 07:00PM ET",0,"DEN","DET",0,0,0
"PG","Monte Morris",3000,"DEN@DET 12/12/2017 07:00PM ET",0,"DEN","DET",0,0,0
"PF","Darrell Arthur",3000,"DEN@DET 12/12/2017 07:00PM ET",2.75,"DEN","DET",0,0,7.5
"SF/PF","Richard Jefferson",3000,"DEN@DET 12/12/2017 07:00PM ET",3.219,"DEN","DET",0,0,0
"SG/SF","Torrey Craig",3000,"DEN@DET 12/12/2017 07:00PM ET",1.25,"DEN","DET",0,0,0
"SG","Sheldon Mac",3000,"WAS@BKN 12/12/2017 07:30PM ET",0,"WAS","BKN",0,0,0
"SG","Devin Robinson",3000,"WAS@BKN 12/12/2017 07:30PM ET",0,"WAS","BKN",0,0,0
"PF/C","Chris McCullough",3000,"WAS@BKN 12/12/2017 07:30PM ET",7.167,"WAS","BKN",0,0,0
"PF","Mike Young",3000,"WAS@BKN 12/12/2017 07:30PM ET",0,"WAS","BKN",0,0,0
"C","Timofey Mozgov",3000,"WAS@BKN 12/12/2017 07:30PM ET",10.792,"BKN","WAS",9.3,0,0
"PG/SG","Jeremy Lin",3000,"WAS@BKN 12/12/2017 07:30PM ET",23,"BKN","WAS",0,0,0
"PG","Jacob Wiley",3000,"WAS@BKN 12/12/2017 07:30PM ET",4.65,"BKN","WAS",0,0,0
"SG","Yakuba Ouattara",3000,"WAS@BKN 12/12/2017 07:30PM ET",0,"BKN","WAS",0,0,0
"PF/C","Ante Zizic",3000,"ATL@CLE 12/12/2017 07:00PM ET",3.694,"CLE","ATL",0,0,4.5
"SG/SF","Cedi Osman",3000,"ATL@CLE 12/12/2017 07:00PM ET",4.544,"CLE","ATL",0,0,12
"PG","London Perrantes",3000,"ATL@CLE 12/12/2017 07:00PM ET",0,"CLE","ATL",0,0,0
