"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Larry Nance",4900,"LAL@HOU 12/20/2017 08:00PM ET",23.25,"LAL","HOU",0,21.7,32.25
"PG/SG","George Hill",4800,"SAC@BKN 12/20/2017 07:30PM ET",19.769,"SAC","BKN",0,23.9,37.25
"SG/SF","Trevor Ariza",4800,"LAL@HOU 12/20/2017 08:00PM ET",24.444,"HOU","LAL",0,28.3,48.75
"SF/PF","Trey Lyles",4800,"MIN@DEN 12/20/2017 09:00PM ET",15.8,"DEN","MIN",0,21.9,18.25
"C","Robin Lopez",4700,"ORL@CHI 12/20/2017 08:00PM ET",24.638,"CHI","ORL",0,20.7,24.25
"PG/SG","Zach LaVine",4700,"ORL@CHI 12/20/2017 08:00PM ET",0,"CHI","ORL",0,0,0
"SG","Mario Hezonja",4700,"ORL@CHI 12/20/2017 08:00PM ET",10.375,"ORL","CHI",0,24.3,15
"PF/C","Jordan Bell",4700,"MEM@GS 12/20/2017 10:30PM ET",13.5,"GS","MEM",0,24,18
"SF/PF","Omri Casspi",4700,"MEM@GS 12/20/2017 10:30PM ET",15.769,"GS","MEM",0,22.5,22
"SG/SF","Buddy Hield",4700,"SAC@BKN 12/20/2017 07:30PM ET",21.731,"SAC","BKN",0,24.5,6
"SG/SF","Wesley Matthews",4700,"DET@DAL 12/20/2017 08:30PM ET",23.185,"DAL","DET",0,22.4,14.5
"SG/SF","Jeremy Lamb",4700,"TOR@CHA 12/20/2017 07:00PM ET",26.543,"CHA","TOR",0,22.1,41.25
"SF/PF","Marcus Morris",4600,"MIA@BOS 12/20/2017 07:30PM ET",23.281,"BOS","MIA",0,0,0
"PF/C","Bam Adebayo",4600,"MIA@BOS 12/20/2017 07:30PM ET",15.393,"MIA","BOS",0,24.6,11.75
"SF/PF","Al-Farouq Aminu",4600,"SA@POR 12/20/2017 10:00PM ET",22.444,"POR","SA",0,22.8,29.5
"SF","Michael Kidd-Gilchrist",4600,"TOR@CHA 12/20/2017 07:00PM ET",20.802,"CHA","TOR",0,21.6,22.5
"SF/PF","Wilson Chandler",4600,"MIN@DEN 12/20/2017 09:00PM ET",20.692,"DEN","MIN",0,23.9,28.5
"SF/PF","JaMychal Green",4500,"MEM@GS 12/20/2017 10:30PM ET",20.722,"MEM","GS",0,23.1,14.5
"SG/SF","Bogdan Bogdanovic",4500,"SAC@BKN 12/20/2017 07:30PM ET",19.231,"SAC","BKN",0,21.3,20.25
"PF/C","Dirk Nowitzki",4500,"DET@DAL 12/20/2017 08:30PM ET",22.911,"DAL","DET",0,23.2,21.5
"C","Brook Lopez",4500,"LAL@HOU 12/20/2017 08:00PM ET",24.705,"LAL","HOU",0,0,0
"PF/C","Greg Monroe",4500,"PHO@LAC 12/20/2017 10:30PM ET",23.103,"PHO","LAC",0,0,0
"PG/SG","Isaiah Canaan",4500,"PHO@LAC 12/20/2017 10:30PM ET",22.833,"PHO","LAC",0,17,18.5
"SG/SF","Bojan Bogdanovic",4400,"IND@ATL 12/20/2017 07:30PM ET",21.758,"IND","ATL",0,20.8,23.75
"SG/SF","Allen Crabbe",4400,"SAC@BKN 12/20/2017 07:30PM ET",21.61,"BKN","SAC",0,22.8,21.25
"SG/SF","Lance Stephenson",4300,"IND@ATL 12/20/2017 07:30PM ET",19.75,"IND","ATL",0,22.2,30
"PG/SG","Terry Rozier",4300,"MIA@BOS 12/20/2017 07:30PM ET",19.909,"BOS","MIA",0,17.9,9.25
"PG/SG","David Nwaba",4300,"ORL@CHI 12/20/2017 08:00PM ET",20.132,"CHI","ORL",0,22.4,14.5
"SG/SF","Andre Iguodala",4300,"MEM@GS 12/20/2017 10:30PM ET",18.644,"GS","MEM",0,0,0
"PG","De'Aaron Fox",4300,"SAC@BKN 12/20/2017 07:30PM ET",20.25,"SAC","BKN",0,0,0
"PG/SG","Alec Burks",4300,"UTA@OKC 12/20/2017 08:00PM ET",18.292,"UTA","OKC",0,21.3,32.75
"PF/C","Ekpe Udoh",4300,"UTA@OKC 12/20/2017 08:00PM ET",12.366,"UTA","OKC",0,11.9,12.5
"SF/PF","Marvin Williams",4300,"TOR@CHA 12/20/2017 07:00PM ET",19.317,"CHA","TOR",0,18.8,14
"C","Tyson Chandler",4300,"PHO@LAC 12/20/2017 10:30PM ET",22.37,"PHO","LAC",0,20,10
"SG/SF","Denzel Valentine",4200,"ORL@CHI 12/20/2017 08:00PM ET",21.767,"CHI","ORL",0,18.6,40.5
"PG","Patty Mills",4200,"SA@POR 12/20/2017 10:00PM ET",19.46,"SA","POR",0,17.6,0
"PG","Tony Parker",4200,"SA@POR 12/20/2017 10:00PM ET",18.639,"SA","POR",0,0,0
"PF/C","Ryan Anderson",4200,"LAL@HOU 12/20/2017 08:00PM ET",21.241,"HOU","LAL",0,20.8,11.5
"PG/SG","Andrew Harrison",4100,"MEM@GS 12/20/2017 10:30PM ET",14.469,"MEM","GS",0,15.8,13.5
"PG","Dejounte Murray",4100,"SA@POR 12/20/2017 10:00PM ET",17.808,"SA","POR",0,20.9,17.75
"PF/C","Mason Plumlee",4100,"MIN@DEN 12/20/2017 09:00PM ET",18.608,"DEN","MIN",0,24.3,40.5
"SG/SF","Wesley Johnson",4100,"PHO@LAC 12/20/2017 10:30PM ET",17.045,"LAC","PHO",0,0,0
"SG/SF","Wayne Ellington",4000,"MIA@BOS 12/20/2017 07:30PM ET",15.95,"MIA","BOS",0,21.3,18.5
"PG/SG","Frank Mason III",4000,"SAC@BKN 12/20/2017 07:30PM ET",15.841,"SAC","BKN",0,20.2,12.75
"SG/SF","Manu Ginobili",4000,"SA@POR 12/20/2017 10:00PM ET",16.106,"SA","POR",0,15.3,21.25
"PG/SG","Seth Curry",4000,"DET@DAL 12/20/2017 08:30PM ET",0,"DAL","DET",0,0,0
"PF","Maxi Kleber",4000,"DET@DAL 12/20/2017 08:30PM ET",13.26,"DAL","DET",0,18.4,8.5
