"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16"
"Justin Anderson_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
"James Michael McAdoo_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
"Jacob Pullen_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
"Gary Payton II_MIL",NA,1,NA,0,NA,0,0,NA,0,NA,18.5,NA,9.5
"Rashad Vaughn_MIL",NA,0,NA,0,NA,0,0,NA,23.25,NA,6.5,NA,8
"DJ Wilson_MIL",NA,7.5,NA,0,NA,0,0,NA,0,NA,0,NA,0
"Sterling Brown_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,12.5
"Joel Bolomboy_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,6.5,NA,0
"Jason Terry_MIL",NA,12,NA,6,NA,10.75,7.25,NA,0,NA,0,NA,0
"John Holland_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0
"London Perrantes_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0
"Cedi Osman_CLE",NA,0,NA,13.5,NA,0,2.75,NA,0,12,NA,6,17.5
"Ante Zizic_CLE",NA,0,NA,0,NA,0,5.75,NA,0,4.5,NA,0,0
