"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
53,955540506,"moneyonmymind (7/10)",0,294.5,"UTIL Bradley Beal C Kristaps Porzingis PF Zach Randolph SF T.J. Warren SG Spencer Dinwiddie F Wilson Chandler G Mike James PG Yogi Ferrell",NA,"Tobias Harris","UTIL","3.82%",13.5
53,955710447,"nickmason1922 (5/6)",0,294.5,"C Joel Embiid PF Kristaps Porzingis SG Gary Harris PG Lonzo Ball SF Buddy Hield UTIL Jeff Green G Mike James F Tyler Cavanaugh",NA,"Kyle Korver","F","3.82%",23.75
55,955475966,"louie405philly",0,294,"SF Ben Simmons C Kristaps Porzingis PF Andrew Wiggins UTIL Rondae Hollis-Jefferson SG Jamal Murray G JJ Redick PG Jordan Clarkson F Richaun Holmes",NA,"Kenneth Faried","F","3.60%",0
56,955009221,"TheGusto7",0,293.25,"F LeBron James C Kristaps Porzingis PG Spencer Dinwiddie UTIL Taj Gibson SG Buddy Hield SF Wilson Chandler G Tomas Satoransky PF Tyler Cavanaugh",NA,"Tyler Ulis","PG","3.60%",19.75
56,955744309,"sasmallen (4/4)",0,293.25,"C Joel Embiid SG Jimmy Butler F T.J. Warren PG Spencer Dinwiddie SF Rondae Hollis-Jefferson UTIL Julius Randle G Wesley Matthews PF Tyler Cavanaugh",NA,"Avery Bradley","SG","3.60%",7.25
58,955254544,"Lynx1231 (11/12)",0,293,"C Karl-Anthony Towns SG Jimmy Butler G Jeff Teague PF Enes Kanter PG Spencer Dinwiddie F Andrew Wiggins SF Wilson Chandler UTIL Bogdan Bogdanovic",NA,"Courtney Lee","SF","3.60%",23.25
58,955312018,"markaw4",0,293,"G Bradley Beal UTIL Jimmy Butler PG Spencer Dinwiddie C Taj Gibson PF Rondae Hollis-Jefferson SG Caris LeVert SF DeMarre Carroll F Allen Crabbe",NA,"Jahlil Okafor","UTIL","3.60%",0
60,955254540,"Lynx1231 (7/12)",0,292,"C Karl-Anthony Towns SG Jimmy Butler PG Lonzo Ball G Jeff Teague PF Andrew Wiggins SF Rondae Hollis-Jefferson F Josh Jackson UTIL Bogdan Bogdanovic",NA,"Joel Embiid","UTIL","3.60%",58
60,955548223,"moneyonmymind (10/10)",0,292,"UTIL Joel Embiid SG Bradley Beal C Kristaps Porzingis PG Lonzo Ball G Allen Crabbe F Wilson Chandler PF Tyler Cavanaugh SF Timothé Luwawu-Cabarrot",NA,"Taj Gibson","UTIL","3.15%",32.5
62,955730301,"Ptrav11",0,291.75,"SF LeBron James C Joel Embiid PG Spencer Dinwiddie UTIL Rondae Hollis-Jefferson PF Julius Randle G Tomas Satoransky F Tyler Cavanaugh SG Bogdan Bogdanovic",NA,"Greg Monroe","F","3.15%",0
