"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14"
"Evan Turner_POR",NA,NA,NA,19.25,NA,8,NA,5.75,NA,NA,15.5,NA
"Wayne Ellington_MIA",NA,11,8.75,NA,26.5,NA,NA,NA,10.25,NA,38,NA
"Gorgui Dieng_MIN",NA,10.25,41.5,NA,15.75,NA,23.25,NA,15,14.75,NA,27
"Marquese Chriss_PHO",NA,12.5,23,NA,NA,9.5,17.5,9,NA,21.5,5.75,NA
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75,13.75,16.25,NA,16.75,2.75,NA
"Davis Bertans_SA",NA,NA,0,NA,1.5,NA,19.25,NA,16.25,0,NA,NA
"Kyle Korver_CLE",NA,16.5,NA,13.75,NA,24,14,NA,23.25,23.75,NA,15.75
"Dillon Brooks_MEM",NA,NA,13,NA,7.25,17.25,14,NA,8.75,NA,10.75,NA
"PJ Tucker_HOU",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,12,NA
"Tony Snell_MIL",NA,19,NA,8,NA,10.5,12.5,NA,5,NA,0,NA
"Sam Dekker_LAC",17.5,NA,NA,11.75,NA,2.75,NA,NA,3.25,NA,21.5,NA
"Dwight Powell_DAL",NA,NA,30.75,NA,NA,22,26.25,NA,10.25,30,NA,15.5
"Jose Calderon_CLE",NA,9.5,NA,6.5,NA,1.5,13,NA,3.5,25.25,NA,35.25
"Derrick Rose_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0
"Joe Johnson_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Thabo Sefolosha_UTA",NA,11.25,NA,20.5,14,NA,14.75,33.5,NA,NA,8,NA
"Jae Crowder_CLE",NA,1.5,NA,23,NA,7.5,18.5,NA,8,17.75,NA,14
"Tristan Thompson_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0
"Alex Abrines_OKC",NA,NA,0,NA,0,NA,NA,5.25,NA,NA,24,NA
"Zach Collins_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,14.25,NA
"Meyers Leonard_POR",NA,NA,NA,5.75,NA,27,NA,3.25,NA,NA,0,NA
"Thon Maker_MIL",NA,14.25,NA,6.5,NA,12.25,1.25,NA,1.75,NA,9.5,NA
"Montrezl Harrell_LAC",0,NA,NA,19.75,NA,19,NA,NA,12.5,NA,13.5,NA
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA,8.25,NA,19.25,12,NA,8.5
"Jared Dudley_PHO",NA,0,12.5,NA,NA,8.75,0,25.75,NA,0,0,NA
"Devin Harris_DAL",NA,NA,21.5,NA,NA,25.75,25.25,NA,10.5,19.25,NA,28.5
"Maxi Kleber_DAL",NA,NA,27.25,NA,NA,14,11.75,NA,32.75,10.5,NA,10.75
"Iman Shumpert_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0
"Jonas Jerebko_UTA",NA,31.5,NA,21.5,20.5,NA,15.25,13,NA,NA,13.75,NA
"Guillermo Hernangomez_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Jerami Grant_OKC",NA,NA,19.25,NA,20.75,NA,NA,8.25,NA,NA,22.5,NA
"Daniel Theis_BOS",NA,NA,NA,21.5,NA,12,8.75,NA,28.25,NA,15.25,NA
"Noah Vonleh_POR",NA,NA,NA,11,NA,17.75,NA,9.5,NA,NA,0.75,NA
"Shabazz Napier_POR",NA,NA,NA,10.25,NA,32.75,NA,3,NA,NA,17.75,NA
"Tyus Jones_MIN",NA,30.5,38.5,NA,2.5,NA,8,NA,7,13.25,NA,8.25
